"O*Net
Tous les métiers","O*Net
Tous les métiers","O*Net
Métiers verts","O""Net: Détails des activités pour les métiers verts","Termes repérés dans les 120 offres d'emploi ""environnement""
Logiciel TermoStat, Genolet, bmBtvya
ACTION
(verbe ou substantif)","Termes repérés dans les 120 offres d'emploi ""environnement""
Logiciel TermoStat, Genolet, bmBtvya
COMPLEMENT
(substantif ou adjectif)","Termes repérés dans les 120 offres d'emploi ""environnement""
Logiciel TermoStat, Genolet, bmBtvya
COMPLEMENT SPECIFIQUEMENT VERT"
Information Input,,,Where and how are the information and data gained that are needed to perform this job?,,,
Getting information,4.A.1.a.1,," Observing, receiving, and otherwise obtaining information from all relevant sources.",mener ,"une/des
recherche/s documentaire/s","cartograpique/s, polaires, dans le domaine de la science atmosphérique, sur la montagne, tourisme, agriculture et nature"
,,,,"récolte/r, recueillir, collecte/r ","des informations
données","géographique/s, du territoire, météorologiques
 géographiques
 géo-environnementale
 géo-environnementales
 géographiques
 de télédétection
 énergétiques
 sur les émissions de gaz à effet de serre
 spatiales
 météorologiques
 climatiques
 climatologiques
 géologiques"
,4.A.1.a.1,4.A.1.a.1.G01,Collect geographic information systems (GIS) data.,,,
,4.A.1.a.1,4.A.1.a.1.G02,Collect geological data.,,,
,4.A.1.a.1,4.A.1.a.1.G03,Collect data about green practices or programs.,,,
,4.A.1.a.1,4.A.1.a.1.G04,Collect energy use data.,,,
,4.A.1.a.1,4.A.1.a.1.G05,Collect product or environmental samples for testing.,collecte/r,échantillon,
"Monitor Processes, Materials, or Surroundings
contrôle, suivi, surveillance",4.A.1.a.2,," Monitoring and reviewing information from materials, events, or the environment, to detect or assess problems.","suivi, suivre
gérer, gestion
supervision","de chantier, de ressources matérielles","environnementale de la construction
de la construction environnementale
??des eaux, des déchets, des émissions de gaz à effet de serre?? Voir ci-dessous"
,,4.A.1.a.2.G01,Monitor sustainability indicators or other measures of green program effectiveness.,"gérer, établir, suivre, contrôler, surveiller 
idem forme nominale","indicateurs
tableaux de bord
indices
outils de pilotage
mesures de suivi
systèmes de suivi","indicateurs énergétiques
suivi/s environnementaux, écologique/s, faunistique/s et floristique/s, biologique/s, géotechnique/s"
,,4.A.1.a.2.G02,Monitor trends in green regulatory or market activity.,,,
,,4.A.1.a.2.G03,Monitor equipment used in green production processes.,,,
,,4.A.1.a.2.G04,Monitor conditions at alternative energy production facilities.,,,
,,4.A.1.a.2.G05,Monitor demand for resources.,,,
,,,,,,
"Identifying Objects, Actions, and Events",4.A.1.b.1.,," Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events.","identifier, identification","des problèmes, des solutions, risques, dangers",naturels
,,4.A.1.b.1.G01,Identify opportunities for implementation of green processes or technologies.,,,
,,4.A.1.b.1.G02,Identify potential environmental or health impacts of technologies or processes.,,,
