ACTIVITY_CONTENT;ACTIVITY_ID
Where and how are the information and data gained that are needed to perform this job?;2
 Observing, receiving, and otherwise obtaining information from all relevant sources.;3
Research geological features or processes.;4
Conduct climatological research.;5
Investigate the environmental impact of industrial or development activities.;6
Collect geographic information systems (GIS) data.;7
Collect geological data.;8
Collect data about green practices or programs.;9
Collect energy use data.;10
Collect products or environmental samples for testing ;11
 Monitoring and reviewing information from materials, events, or the environment, to detect or assess problems.;12
Monitor green energy equipment, systems, or facilities.;13
Monitor operations to ensure adequate performance.;14
Monitor construction operations.;15
"Inspect operations of green energy facilities.
";16
Monitor environmental conditions.;17
Monitor environmental conditions to detect hazards.;18
Monitor sustainability indicators or other measures of green program effectiveness.;19
Monitor trends in green regulatory or market activity.;20
Monitor equipment used in green production processes.;21
Monitor conditions at alternative energy production facilities.;22
Monitor demand for resources.;23
 Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events.;24
Identify opportunities for implementation of green processes or technologies.;25
Identify potential environmental or health impacts of technologies or processes.;26
Identify green investment strategies.;27
 Inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects.;28
Inspect work sites to identify potential environmental or safety hazards.;29
Test vehicle emissions.;30
Inspect facilities or workplaces to ensure health, safety, or environmental standards are met.;32
Inspect heating, ventilation and air conditioning (HVAC) systems.;33
Inspect motor vehicles.;35
Test alternative energy production equipment.;36
Inspect alternative energy production facilities.;37
Test new green automotive technologies or components.;38
Test materials or sites for environmental contaminants.;39
" Estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity.";40
Estimate costs or resource requirements for green projects or processes.;41
Design environmental control systems.;42
Monitor operational procedures in technical environments to ensure conformance to standards. ;43
Assessing the value, importance, or quality of things or people.;45
Determine green installation specifications.;46
Evaluate sites for potential green installations.;47
Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data.;48
Compile environmental or climatological data.;49
Calculate energy consumption or loss.;50
Calculate emissions of hazardous or potentially hazardous substances.;51
Measure biofuels feedstock.;52
Compute expenses or savings associated with green products, processes or technologies.;53
Evaluating Information to Determine Compliance with Standards;54
Examine materials or documentation for accuracy or compliance.;55
Review plans or proposals for environmental conservation.;56
Assess compliance with environmental standards or regulations.;57
Conduct environmental audits.;58
Review technical documentation to ensure compliance with regulations or standards.;59
Evaluate operational activities for safety or compliance with environmental standards.;60
Investigate violations or potential violations of environmental regulations.;61
Monitor green project construction.;62
Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts.;63
Analyze environmental or geospatial data.;64
Analyze Geographic Information Systems (GIS) data for use in green applications.;65
Evaluate environmental or sustainability projects.;66
Evaluate energy production data.;67
Evaluate logistics methods to reduce environmental impact.;68
Appraise environmental impact of regulations or policies.;69
Analyze environmental regulations to ensure organizational compliance.;70
Analyze laboratory specimens to detect abnormalities or other problems.;71
Evaluate the functionality of alternative energy production facilities.;72
Research alternative energy systems or processes.;73
Research green automotive technologies.;74
Investigate accidents affecting the environment.;75
Research energy market issues.;76
Create models of green processes or systems.;77
Conduct cost-benefit studies related to green processes, projects or products.;78
Research green processes. (processus écologiques);79
Evaluate the environmental impact of projects or processes.;80
Review proposals or bids.;81
Evaluate green products, technologies or applications.;82
Review project designs to ensure they meet regulations and technical requirements.;83
Analyze data related to environmental conditions and restoration needs.;84
Research agricultural issues.;85
Analyze geospatial data.;86
Model potential outcomes of green activities or processes.;87
Analyze contaminant or pollutant data.;88
Analyze equipment test data.;89
Investigate the relationship between the environment and large-scale systems or processes.;90
Analyze climate data.;91
Assess the effectiveness of green projects or programs.;92
Analyze logistics activities to determine areas for improvement.;93
Analyze shipping routes or methods to determine the most environmentally friendly options.;94
"Analyzing information and evaluating results to choose the best solution and solve problems.
";95
Implement transportation changes to reduce environmental impact.;97
Analyze energy pricing.;98
Determine environmental remediation methods.;99
Diagnose causes of malfunctions or failures.;100
Analyze feasibility of green projects or products.;101
Select logistics technologies or processes.;102
Determine waste management methods.;103
Determine methods of dealing with water issues.;104
Select materials for use in green applications or production.;105
Initiate responses to violations of environmental regulations or procedures.;106
Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions.;107
Develop marketing plans or strategies for environmental initiatives.;108
"Develop environmental remediation or protection plans.

Élaborer des plans d'assainissement ou de protection de l'environnement.";109
Develop plans to manage natural or renewable resources.;110
Design structures or facilities.;111
Design civil structures or systems.;112
Develop systems or practices to mitigate or resolve environmental problems.;113
Design water conservation systems.;114
Plan environmental research.;115
Develop environmental research methods.;116
Develop mathematical models of environmental conditions.;117
Develop environmental sustainability plans or projects. ;119
Develop plans to manage natural or renewable resources. ;120
Design methods of measuring or analyzing green data.;121
Design nanotechnology applications.;122
Design green agricultural technologies.;123
Develop green logistics processes.;124
Design water or wastewater treatment facilities.;125
Design energy efficient systems or components.;126
Design alternative energy systems.;127
Design green automotive systems or components.;128
Design systems for water management, distribution or conservation.;129
Design sustainable industrial processes or technologies.;130
Design electromechanical systems for green applications.;131
Develop green energy production processes.;132
Design pollution reduction or remediation systems.;133
Design biological or chemical processes with green applications.;134
Design green facilities or structures.;135
Design green electrical or electronics technologies.;136
Using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards.;137
Review environmental permits, plans, or reports.;138
Evaluate materials to assess quality or ensure compliance with standards.;139
Determine methods to minimize environmental impact of activities.;140
Determine design or equipment specifications for green projects.;141
Design energy-efficient equipment or systems.;142
Develop testing or monitoring procedures related to green projects or technologies.;143
Keeping up-to-date technically and applying new knowledge to your job.;144
Update professional knowledge.;145
" Establishing long-range objectives and specifying the strategies and actions to achieve them.
Établir des objectifs à long terme et spécifier les stratégies et les actions pour les atteindre.";146
Plan environmental resource conservation or protection programs.;147
Plan green energy projects.;148
Develop environmental restoration project plans.;149
Plan ways to limit the environmental impact of projects.;150
Plan green research projects.;151
Plan recycling or waste disposal programs.;152
Scheduling events, programs, and activities, as well as the work of others.;153
Schedule activities related to green projects.;154
Developing specific goals and plans to prioritize, organize, and accomplish your work.;155
Plan events or programs.;156
Plan implementation or promotion of recycling programs.;157
Plan work activities.;158
Adhere to practices and procedures designed to protect the environment.;159
