;JOB_ID;ISCO;JOB_SCORES;JOB_SCORES;GREEN_IDENTITY;GREEN_IDENTITY_MJ
0;12220025;21420;['We are a successful and independent engineering office in Schönried', ' To strengthen our team and to optimally process the manifold interesting objects, we are looking for civil engineering MW of their work areas of constructive engineering construction both in project planning and in the construction management of general low and road construction', ' Your profile You have a completed studies as a civil engineer ETHTUFH', ' You want to gain experience in configuration and construction management', ' They are all over and want to develop develops are used to deal with pressure and can also retain the tranquility in hectic situations', ' Your chances You can extend your knowledge and experience in a small motivated team with modern work equipment and interesting objects', ' You will get the opportunity to grow on the task', ' Further information and application We are at your disposal for more information and look forward to receiving your application', ' Please send your documents preferably by email to Clewi Haldi Clewaihaldi', ' EU We look forward to receiving contact', ' Haldi Design AG Schönried'];"tf.Tensor(
[[-0.04822776 -0.02858711 -0.06559009 ...  0.01871002 -0.0613087
  -0.00590269]
 [ 0.0207816   0.03388791  0.04297301 ...  0.0401625  -0.04559466
   0.00078988]
 [ 0.04384393 -0.05652945  0.00356796 ...  0.00565387 -0.02749583
  -0.04372038]
 ...
 [-0.05100707  0.02849652  0.02090343 ...  0.00357532  0.02050468
  -0.0538778 ]
 [ 0.03570567 -0.06245454  0.01240403 ...  0.07666688 -0.04024871
  -0.0165576 ]
 [ 0.03092669  0.05604629 -0.02218633 ...  0.00423486 -0.04333838
  -0.01543684]], shape=(11, 512), dtype=float32)";1;FALSE
1;10814567;21420;['We are a prestigious and successful engineering company operated for 40 years in the fields of engineering booth and tributary as well as in the environment and spatial planning', ' To strengthen our dedicated team at the headquarters in Burgdorf, we are looking for a Dipl', ' Civil Engineer in FH or ETH as a project manager civil engineering', ' Your tasks Configuring tendering and realization of new buildings and renovations in the areas of road construction Settlement drainage Water supply and hydraulic engineering Contact with representatives of the builders and the authorities Leadership and supervision of construction drawers and designers Costs and futures involvement in the acquisition at most instructional managers unless we expect from them A degree as a civil engineer FH or ETH experience in the mentioned areas of engineering', ' Experience in dealing with common ethilfs independent and initiative Functioning of good oral and written expression What we offer you a careful introduction to the field of work a varied work in an exciting environment and with interesting order situation a workplace with contemporary itinfrastructure office location in the heart of Burgdorf in walking distance to the train station and With parking right in front of the house of the performance corresponding compensation make you feel addressed then do not hesitate', ' Contact us today or send us your complete application documents', ' Mr', ' ', '', '', ' 034 420 84 83 ', '', '', ' gladly gives you further information about this interesting job', ' Markwalder Partner AG Engineers and Planner Lyssachstrasse 7a 3400 Burgdorf ', '', '', ' Markwalder Partner AG Lyssachstrasse 7a Mailbox Ch3401 Burgdorf Fon 41 034 420 84 84 Fax 41 034 420 84 85 Login'];"tf.Tensor(
[[-0.02063189  0.00667052 -0.01903141 ... -0.04190841  0.03063822
   0.00091435]
 [-0.04078282  0.05147085 -0.00755612 ...  0.03436204 -0.04926568
   0.00449024]
 [ 0.04919436 -0.03471861  0.02952991 ...  0.04821132 -0.05865911
  -0.01183621]
 ...
 [-0.03565681 -0.03319571  0.07047429 ... -0.0636081  -0.02079297
  -0.02250966]
 [-0.03565681 -0.03319571  0.07047429 ... -0.0636081  -0.02079297
  -0.02250966]
 [ 0.02302606  0.01475411 -0.04275989 ... -0.02551825  0.01480538
  -0.04926229]], shape=(18, 512), dtype=float32)";1;
2;12401674;21420;['Bill Weyermann Partner AG has been producing engineering services in high and civil engineering for over 40 years', 'With more than 20 dedicated employees, it is one of the major planning offices in the Mittelland', 'Are you the experienced ready-to-use and competent civil engineer ETHFH MW carrying structures which seek a new challenge your personality you have a completed training as a Dipl', 'Civil engineer ETHFH or similar as well as a few years of professional experience around carrying structures', 'They are independently structured and entrepreneurially', 'Your tasks you take over the management of demanding projects in the civil engineering and are supported by the entire team', 'Contact Urs', 'Billbwbauing', 'CH expects your complete dossier with photo and gives information under Tel Nr 034 413 71 11', ''];"tf.Tensor(
[[ 0.05547219  0.04902443  0.01770146 ... -0.03773935  0.00349184
  -0.05052716]
 [-0.02656036  0.06610307  0.03264526 ... -0.06420493 -0.00219194
   0.06197333]
 [-0.02346003 -0.08730868 -0.02590068 ...  0.06751547 -0.02201768
  -0.06843462]
 ...
 [-0.05908138  0.04422848  0.02489807 ... -0.0197092   0.09639881
  -0.05133606]
 [-0.01135424  0.02472381  0.00487133 ...  0.04101985  0.00266329
  -0.06796042]
 [-0.03565681 -0.03319571  0.07047429 ... -0.0636081  -0.02079297
  -0.02250966]], shape=(10, 512), dtype=float32)";1;FALSE
3;12473085;62100;['Administration Communale de Valderuzforstartin Efzcernier Ne Languages FR Number of apprenticeships 1 Swissdoc number 0', ' 120', ' 6', ' 0 updated23', '08', ' 2016'];"tf.Tensor(
[[ 0.01948128 -0.02223398 -0.02341594 ... -0.03406024 -0.04632745
  -0.04819871]
 [ 0.06577197 -0.07060922  0.0643399  ... -0.0438664   0.0002751
   0.0058171 ]
 [-0.03904547 -0.06749868  0.03525647 ... -0.0670428   0.0020618
   0.00080964]
 [ 0.00709344 -0.05542773  0.00129542 ... -0.01679415 -0.01484219
   0.01236499]
 [-0.00516159 -0.07352995 -0.01365108 ... -0.07780074 -0.08140361
  -0.01998882]
 [-0.06196084 -0.05565346 -0.01452559 ...  0.03458957 -0.00884136
  -0.00741146]], shape=(6, 512), dtype=float32)";0;TRUE
4;12905109;"26220;24210";['The Straumann Group is experiencing international success in the field of implantology and dental reconstruction as well as tissue regeneration', ' For more than 60 years we have been focusing our skills on the research and development of optimal solutions for our customers and patients', ' Implantable medical devices produced on our Villeret site are certified according to MDD 9342ECC ISO 13485 ISO 14001 and FDACGMP 21 CFR 820', ' In order to ensure that all valid quality documents for the Villeret site are correctly defined in the relevant departments they are Update and made available to users we complete our team with a quality documentation specialist', ' Your function as part of the management of our Quality System You are part of a team responsible for document management process management and training', ' In this function you evaluate and process requests for changes attend the departments responsible for the definition and development of the various quality documents and propose continuous improvements concerning the documentation', ' In addition you develop and give training related to the quality management system', ' You also follow the performance of document management processes using indicators and actively participate in the ongoing development of businesses', ' Your profile 1 to 3 years of professional experience in a similar position in an active industry in the field of pharmaceutical or biotechnological medical devices', ' Excellent knowledge of ISO 13485 standards and regulation 21 CFR 820', ' Mastery of the environment MS Office Excel Word Visio PowerPoint ETC Complementary knowledge of SAP an asset', ' Good ability to analyze complex situations', ' Oriented towards the development of pragmatic solutions', ' Excellent organizational and priority management capabilities with good stress resistance and flexibility', ' Autonomous while enjoying teamwork', ' Good communication skills', ' Mastery of French with spelling and irreproachable grammar', ' Excellent knowledge of English for professional use and knowledge of German a plus', ' This function awaits you with a modern and dynamic company that considers quality control as its first priority', ' Motivated by this challenge to send your application accompanied by the usual documents at the following address Straumann Villeret SA Human Resources The Fields of the Clos 2 2613 Villeret 41 32 942 87 87 Job', ' villeretraumann', ' com www', ' Straumann', ' com'];"tf.Tensor(
[[-0.02228776  0.03350648 -0.03000865 ...  0.00070969  0.03427428
   0.03041783]
 [-0.02794306  0.05443385  0.03233731 ... -0.01406477 -0.03607597
  -0.07458141]
 [-0.00746651  0.01183769 -0.01994779 ...  0.02002691 -0.04279392
  -0.06162046]
 ...
 [-0.06623149  0.01880693 -0.05212937 ... -0.04338152 -0.01591294
  -0.06607341]
 [-0.0017448  -0.00185852 -0.01069007 ... -0.04605502  0.04879778
  -0.0318548 ]
 [-0.08124688  0.05058162  0.0176641  ... -0.04548421  0.03270279
  -0.05952173]], shape=(24, 512), dtype=float32)";0;TRUE
5;12523090;61300;['Le Devens Armée du Salutland Wirtin Efzstaubinsauges Ne Languages FR Number of Courses 1 SwissDoc number 0', ' 130', ' 12', ' 0 updated29', '08', ' 2016'];"tf.Tensor(
[[-0.00850992 -0.02743905 -0.02286015 ... -0.05140333  0.01683982
  -0.04730793]
 [ 0.03703272 -0.06723072  0.02381311 ... -0.02453998  0.0479282
  -0.0330893 ]
 [-0.02054816 -0.07247563  0.0165395  ... -0.06818292  0.01863186
   0.03830523]
 [ 0.01502589 -0.06724602  0.01045658 ... -0.01247754 -0.01219437
   0.05079608]
 [-0.00516159 -0.07352995 -0.01365108 ... -0.07780074 -0.08140361
  -0.01998882]
 [-0.06196084 -0.05565346 -0.01452559 ...  0.03458957 -0.00884136
  -0.00741146]], shape=(6, 512), dtype=float32)";0;TRUE
6;11449790;"21420;24310";['Civil Engineer as product manager SYTEC Bausysteme AG supports planner construction companies and rulings in the planning of complex projects as well as in the correct selection of products and their professional use', ' There is no established technology which would not be worth questioned', ' With know--show new ideas and innovative systems, SYTEC helps economically to build the construction time to shorten and significantly extend the life of the buildings', ' Civil engineer as product manager Primary works in product management and product development of the SYTEC geoproducts', ' They maintain contact with the production partners in Germany and abroad and lead the products through the different stages of life cycle', ' They create technical documentation and documents', ' In addition, they are involved in the further development of the assessment models and provide customers with recessed product technical inquiries', ' They are civil engineer BSC MSC and ready to get into a new exciting matter', ' They dominate German in word and written', ' If you can communicate in French English and or Italian, this is another advantage', ' As part of a team, you may receive support and offer your help', ' If you know if you prefer to work as a product manager or on the front in the geotechnology In any case, you will be carefully incorporated by experienced professionals in your new task', ' If you would like to have more detailed information on the two job opportunities, just contact us', ' We are happy to show you what makes the special stimulus to work for SYTEC', ' The SYTEC team is looking forward to seeing you', ' SYTEC Bausysteme AG Lorenz Kunz Management Luentenstrasse 47 3176 Neuenegg Telephone 031 980 14 14 Fax 031 980 14 24Lorenz', ' Kunzsytec', ' ch'];"tf.Tensor(
[[ 0.06636608  0.01702997  0.0689117  ...  0.05801496  0.00519956
  -0.02672428]
 [-0.00396166 -0.02864701 -0.04070615 ...  0.00282215 -0.00571429
   0.01604553]
 [-0.04257661 -0.03861235 -0.00575299 ... -0.06575841 -0.03172961
   0.04002075]
 ...
 [ 0.03419635  0.02903769 -0.02061201 ... -0.00437459 -0.04525016
  -0.05820738]
 [ 0.06779587 -0.02944825 -0.02663745 ...  0.00240504  0.06033985
  -0.01946351]
 [-0.01840366 -0.00344309 -0.02403565 ... -0.0633411   0.04487136
  -0.0011327 ]], shape=(18, 512), dtype=float32)";1;
7;12848898;"21660;31120";['Draftsman or Technician in Civil Engineering HF 100 SD Engineering Lausanne SA'];"tf.Tensor(
[[ 6.28107563e-02 -5.12525626e-02 -6.17995970e-02  4.92241830e-02
   6.58480674e-02 -7.14949816e-02  4.33402769e-02 -8.70019570e-03
   3.08365151e-02 -5.85116707e-02 -7.12744743e-02 -6.01373389e-02
   5.98520190e-02  3.78859695e-03  6.72960654e-02 -1.71284676e-02
   3.37841175e-02  6.50817389e-03  2.65840497e-02 -7.52094239e-02
   7.59074464e-02 -7.46123046e-02  5.44565283e-02  6.57785833e-02
  -1.41658979e-02 -4.69257645e-02  1.12860473e-02 -7.52395717e-03
  -1.73158254e-02  5.25823981e-03  2.76683122e-02  4.22059819e-02
  -3.88877802e-02 -5.49776368e-02 -7.12312460e-02 -3.35328840e-02
  -5.67531325e-02 -3.83829214e-02 -7.03910515e-02  6.33793324e-02
   4.37191799e-02 -1.36188967e-02  1.11790781e-03  3.68468724e-02
  -2.02538017e-02 -5.74518740e-03  2.52223965e-02  4.12573703e-02
   2.54842322e-02 -2.17448324e-02 -5.23534045e-02  3.71450484e-02
  -3.27408053e-02 -1.67096388e-02 -4.65639532e-02 -2.30536070e-02
   6.34224266e-02  4.78369668e-02 -7.01258034e-02 -6.17997535e-02
   7.60662854e-02  1.09401147e-03 -5.50799295e-02  6.12900592e-02
  -3.61936800e-02  3.82299684e-02 -1.31194759e-02  2.77636927e-02
  -3.74794416e-02  7.22812489e-03  2.32237205e-02  5.62315993e-02
  -5.64119518e-02 -6.26848564e-02 -6.41982332e-02 -7.62609094e-02
   3.24163511e-02 -6.24325834e-02 -2.11215299e-02  1.53198699e-02
   1.51668852e-02  8.49881396e-03  1.23183811e-02 -2.60725413e-02
  -6.38796166e-02 -5.07056937e-02 -5.44726998e-02 -3.51684615e-02
   3.65548581e-02 -5.01507707e-02 -1.79931056e-02  7.35307336e-02
  -2.83051841e-02  6.00818358e-02 -3.31415609e-02  4.97401282e-02
   3.66335809e-02  5.90511747e-02 -4.02446697e-03 -6.27876967e-02
  -6.82114959e-02  5.47815785e-02  7.13946745e-02  6.15816563e-02
   4.17884951e-03 -4.21849675e-02  1.17151421e-02  4.98014316e-02
  -6.94874749e-02 -1.68036278e-02  2.91954875e-02 -5.22867702e-02
   6.28562570e-02  4.63596024e-02 -5.07542267e-02  6.94774790e-03
   6.29721209e-02 -1.57863460e-02 -1.08521450e-02  8.86228122e-03
   1.58150792e-02  2.29912866e-02  6.61163107e-02  6.88993335e-02
  -4.08153934e-03 -3.56376693e-02 -4.33660820e-02 -1.88912489e-02
   3.54066268e-02 -1.08465143e-02 -4.83625606e-02  2.21249908e-02
   2.43718643e-02  4.55185920e-02  4.00813334e-02 -7.00611770e-02
   2.40512043e-02  7.06543103e-02  5.79142896e-03 -4.01169695e-02
  -3.56573216e-03  5.52873090e-02 -1.68427862e-02  8.29115324e-03
   6.34539053e-02 -4.55119833e-02 -4.78027910e-02  6.81535006e-02
  -6.41946048e-02  6.57799542e-02 -5.54786213e-02 -3.10200360e-02
  -3.90725993e-02  3.59507687e-02 -1.31620634e-02  2.13575922e-02
   7.38931522e-02  1.27296001e-02 -2.01888494e-02 -3.29684541e-02
  -6.82623163e-02  3.79492491e-02  2.02225614e-02 -4.40277010e-02
  -1.62029639e-02  5.68693802e-02  7.43748844e-02  5.86265773e-02
  -1.41969286e-02 -7.40566030e-02 -1.83249637e-02  5.77255487e-02
  -3.36457491e-02  3.69007513e-02  1.18459845e-02  5.33698015e-02
   2.52395757e-02  1.61961578e-02  2.95450520e-02 -5.65418303e-02
  -4.66613024e-02  2.86383051e-02 -1.50076589e-02  2.42224205e-02
  -3.00305076e-02 -4.62262938e-03 -1.11821927e-02 -6.14953078e-02
   1.22413179e-02  2.38761939e-02  6.88886791e-02  1.54729784e-02
  -2.21001334e-03  3.46103571e-02 -3.37220021e-02 -1.12708602e-02
  -3.52898650e-02 -1.00508574e-02 -4.22916934e-02  5.08554988e-02
   4.32135686e-02  7.58803263e-02  9.83839110e-03  2.85107866e-02
  -2.01359931e-02 -5.67675792e-02  1.30065996e-02 -7.42286220e-02
   7.41940439e-02 -3.65032330e-02  5.08090891e-02  1.20330313e-02
   5.11531346e-02 -2.98416894e-02 -2.64882911e-02  3.03447694e-02
   1.62533317e-02  6.46672174e-02  3.67320105e-02 -6.38608038e-02
   4.91301576e-03 -3.34377363e-02 -4.60221022e-02  5.90350442e-02
   5.68624102e-02 -2.54460033e-02  4.76077534e-02 -1.63802709e-02
  -7.41076991e-02  6.66734576e-02 -6.13107458e-02 -6.93501383e-02
  -2.07686778e-02 -1.65244658e-02  9.70685564e-04  6.64645154e-03
  -4.87068519e-02  6.24568090e-02 -5.33077791e-02  6.25125915e-02
  -2.13853624e-02  4.85601313e-02 -5.32839596e-02  6.94760382e-02
   7.07034990e-02  1.52888950e-02 -1.56560764e-02  7.01821670e-02
  -2.42647920e-02  6.41743317e-02 -5.13892546e-02  3.96290682e-02
   7.17996210e-02 -5.07595912e-02  2.65713967e-02 -2.86787841e-03
  -1.43313678e-02  7.30611384e-03  6.22373912e-03  5.73495179e-02
  -9.35498625e-03 -3.60901058e-02  3.34284157e-02  3.41332965e-02
   6.61384836e-02  2.72017140e-02 -2.52946396e-03  4.02177162e-02
  -5.66126481e-02 -5.37771583e-02 -2.14799345e-02  5.78453392e-02
  -2.81402022e-02  1.21735092e-02  6.65817261e-02  4.70443480e-02
  -1.72063652e-02 -3.69871631e-02  5.22962846e-02  6.18183240e-02
  -3.42576392e-02  2.31202152e-02  5.56998961e-02 -5.24237938e-02
  -2.34856959e-02  2.94653885e-02 -2.30968576e-02  9.74812917e-03
   8.24177358e-03 -3.59003991e-02  3.93863432e-02  5.50969951e-02
   6.09888732e-02  2.18526591e-02 -8.55902862e-03 -1.39529817e-02
  -6.70247525e-02  5.31101525e-02  1.78847220e-02  3.68738584e-02
   2.78685633e-02  2.28252448e-02 -1.54932840e-02  5.77124022e-02
  -7.31069818e-02  2.09854543e-02  1.41281737e-02 -9.12851188e-03
   1.29396953e-02  6.99603111e-02  1.36543363e-02 -6.56220540e-02
   1.21295080e-02 -3.95930558e-02 -1.96430623e-03  1.99952796e-02
   6.40107617e-02 -3.60623337e-02 -6.17538318e-02 -3.05102505e-02
   1.01611316e-02  5.71852885e-02  4.76383837e-03 -5.71313687e-02
   4.84635867e-02 -3.15935239e-02 -4.91196029e-02 -3.00459918e-02
  -3.60218473e-02  1.78921185e-02  2.45515145e-02  1.68421380e-02
  -5.54271936e-02  7.17752650e-02  4.00514342e-03 -5.76512069e-02
   5.89660183e-02  3.46178487e-02  7.08983094e-02 -3.31938788e-02
  -4.93616983e-02 -2.90721338e-02  1.08357903e-03  7.28369206e-02
  -1.41254868e-02  6.17813766e-02  4.51031439e-02 -5.05095571e-02
  -2.20802482e-02 -1.55956447e-02 -5.20880446e-02 -5.72681725e-02
   1.42346341e-02  3.45854834e-03  4.55400981e-02 -7.66831636e-02
  -6.84217513e-02 -7.09233209e-02  4.86236028e-02 -1.18497182e-02
   5.04334196e-02 -7.33367279e-02 -3.02617308e-02 -2.04820912e-02
   1.71404779e-02  6.99807107e-02  5.39783761e-02 -5.79101034e-02
  -7.47689093e-03  4.06624004e-03  5.60429096e-02 -5.42164408e-02
   6.39975667e-02 -5.64697534e-02 -3.24051045e-02  6.66017607e-02
  -2.66145412e-02  3.49693038e-02 -3.16352258e-03 -2.98435502e-02
   1.11874528e-02  6.67079017e-02  3.48855369e-02  2.87043024e-02
   2.21151859e-02 -3.80252972e-02  5.86670302e-02 -2.73783430e-02
   1.07555799e-02 -3.54000591e-02  2.00052503e-02 -4.97247465e-02
  -5.51601686e-02 -5.12768887e-02  6.62205741e-02  6.66075796e-02
  -3.25076282e-02 -1.04912724e-02 -2.01161671e-02  3.43247466e-02
  -5.38098663e-02 -2.27232371e-03 -4.12333682e-02  4.55420464e-02
  -1.92115456e-03 -6.77406639e-02 -3.41774151e-02  1.06614744e-02
   4.75092009e-02 -3.83751839e-02 -5.60771860e-03 -6.55475110e-02
  -1.77703809e-03  2.30414327e-02 -1.94185991e-02  4.01441101e-03
  -7.37248436e-02  7.28548169e-02  6.94995606e-03  7.41902366e-02
   8.40900838e-03 -7.62384012e-02  2.21760944e-02  2.62754411e-02
   2.67983321e-02 -3.66352908e-02  1.09644569e-02 -6.18588701e-02
  -9.27396212e-03  6.34617209e-02 -7.52604529e-02 -5.51139601e-02
   1.63461752e-02 -5.09515591e-02  5.41185029e-02  1.15219112e-02
  -4.55716141e-02 -4.89369482e-02 -7.41578341e-02  4.98345383e-02
  -1.87420994e-02 -5.02191223e-02 -2.97780912e-02 -5.58757298e-02
   2.33848765e-02  7.47793987e-02 -4.16146778e-02  6.33119635e-05
  -6.42075390e-02  1.16996858e-02  6.94009885e-02  6.70140982e-02
  -2.51779296e-02 -1.91779993e-02 -5.87682314e-02 -7.50759169e-02
  -2.04863753e-02  1.63780693e-02  8.53397977e-03 -1.77813005e-02
   6.63159490e-02  1.87377129e-02  4.51202951e-02 -6.09673783e-02
  -3.46056670e-02  1.83203798e-02  1.36612523e-02  6.86511695e-02
   4.48465459e-02  2.89866254e-02 -1.06996484e-02  5.61277270e-02
  -7.02252835e-02 -6.25865683e-02  1.33562703e-02  6.00098632e-02
  -2.48521548e-02 -2.55942456e-02  2.17754301e-02 -6.07408211e-02
  -6.63568601e-02 -2.01141685e-02  4.05140370e-02 -7.25014433e-02
   1.63539201e-02  1.84943192e-02  4.13520373e-02  5.00335209e-02
   3.15266810e-02  7.62409270e-02 -5.98204089e-03 -2.80845724e-02
  -1.16354991e-02 -1.31195877e-02  1.11705372e-02 -4.94857095e-02
  -5.73582724e-02 -5.71598411e-02  6.44040182e-02  7.22233159e-03
  -5.14302887e-02 -3.95958759e-02 -3.09729502e-02  1.08086979e-02
   3.28258760e-02  5.95364049e-02 -3.67904566e-02  5.41280322e-02
  -4.80909199e-02 -1.08390823e-02 -1.51343802e-02 -3.93509232e-02]], shape=(1, 512), dtype=float32)";0;
8;12849192;21420;['Works Engineer CVSE HF Losinger Marazzi Corporate recognized in its market targets leadership in sustainable construction', ' Customers appreciate it for its know-how its reliability and competitiveness', ' Ambitious she anticipates the future by developing innovative solutions', ' For our collaborators we want to be a company to which they are proud to belong', ' Your mission at the heart of our direction Works Switzerland Romande You are responsible for carrying out the follow-up of CVCS work heating air conditioning and sanitary ventilation and their measurement systems control and regulation MCR', ' You are in charge of planning the coordination of monitoring the quality control and compliance of this work carried out to the standards in force for the commissioning of technical installations and finally the financial management of lots under your responsibility', ' You also make sure to enforce the safety rules within the site', ' True entrepreneur You represent the interests of the company with subtractors and are responsible for men on the site', ' Your profile for a diploma of general engineer or CVCS of a Swiss school or equivalent you are for the benefit of a validated experience in CVCS works of minimum 1 year and solid knowledge in MCR', ' You master the SIA standards and you are recognized on the place for your professionalism and your ability to find solutions', ' If you have the ambition to expand your responsibilities and get involved in major project development, do not hesitate and join our work framework we propose to integrate an international group leader in its market offering methods and A powerful work environment A proximity hierarchy of targeted and pointed training as well as a large network of skills', ' Contact We are looking forward to receiving your application file through our Losinger Marazzi AG Direktion Human Resources Online Postula Form Ref', ' MDJ_CTCVSE Pay Path 26 1030 Bussigny Züruckbewerbungdrücken'];"tf.Tensor(
[[ 0.04077667  0.05180414 -0.00918132 ...  0.07766643 -0.03883091
   0.01192191]
 [-0.01413498 -0.02973839 -0.0412655  ... -0.08555879 -0.07834028
  -0.03715017]
 [-0.01016022 -0.03451019 -0.02757592 ... -0.03008857 -0.03512818
  -0.01059751]
 ...
 [-0.07100809  0.02378649  0.0328299  ... -0.01431179 -0.04174782
  -0.0312004 ]
 [-0.04989417  0.00390221 -0.05607256 ...  0.07291753 -0.02695758
  -0.01641205]
 [ 0.02693218 -0.06332827  0.01122046 ... -0.03936436  0.04614534
  -0.0481426 ]], shape=(13, 512), dtype=float32)";1;FALSE
9;12849193;21420;['Works Engineer CVSE HF Losinger Marazzi Corporate recognized in its market targets leadership in sustainable construction', ' Customers appreciate it for its know-how its reliability and competitiveness', ' Ambitious she anticipates the future by developing innovative solutions', ' For our collaborators we want to be a company to which they are proud to belong', ' Your mission at the heart of our direction Works Switzerland Romande You are responsible for carrying out the follow-up of CVCS work heating air conditioning and sanitary ventilation and their measurement systems control and regulation MCR', ' You are in charge of planning the coordination of monitoring the quality control and compliance of this work carried out to the standards in force for the commissioning of technical installations and finally the financial management of lots under your responsibility', ' You also make sure to enforce the safety rules within the site', ' True entrepreneur You represent the interests of the company with subtractors and are responsible for men on the site', ' Your profile for a diploma of general engineer or CVCS of a Swiss school or equivalent you are for the benefit of a validated experience in CVCS works of minimum 1 year and solid knowledge in MCR', ' You master the SIA standards and you are recognized on the place for your professionalism and your ability to find solutions', ' If you have the ambition to expand your responsibilities and get involved in major project development, do not hesitate and join our work framework we propose to integrate an international group leader in its market offering methods and A powerful work environment A proximity hierarchy of targeted and pointed training as well as a large network of skills', ' Contact We are looking forward to receiving your application file through our Losinger Marazzi AG Direktion Human Resources Online Postula Form Ref', ' Mdj_ctcvse pour path 26 1030 Bussigny returns your cvpprint'];"tf.Tensor(
[[ 0.04077667  0.05180414 -0.00918132 ...  0.07766643 -0.03883091
   0.01192191]
 [-0.01413498 -0.02973839 -0.0412655  ... -0.08555879 -0.07834028
  -0.03715017]
 [-0.01016022 -0.03451019 -0.02757592 ... -0.03008857 -0.03512818
  -0.01059751]
 ...
 [-0.07100809  0.02378649  0.0328299  ... -0.01431179 -0.04174782
  -0.0312004 ]
 [-0.04989417  0.00390221 -0.05607256 ...  0.07291753 -0.02695758
  -0.01641205]
 [-0.01094438 -0.06142173  0.01000836 ...  0.06002991  0.0734217
  -0.03314201]], shape=(13, 512), dtype=float32)";1;FALSE
