ID;ISCO;SKILLS;BRANCHE;JOBTITEL;CONTENT;Content English;Predictions;MJ;;
12047533;"31230;12190;21620";"Kontaktfähigkeit;Anpassungsfähigkeit;Einsatzbereitschaft;Multitasking;Eigenverantwortung";"Land- und Forstwirtschaft;Baugewerbe";Landschaftsgärtner / -in als Vorarbeiter / Gruppenchef;Bauführer / Gartenbautechniker HF  Die Aemmer AG erstellt seit über 85 Jahren anspruchsvolleund schöne Garten- und Sportplatzanlagen.  Als traditionsreicher Familienbetrieb mit 35 Mitarbeitern undmodernstem Maschinenpark sind wir bestrebt, fachlich einwandfreie Arbeit zu leisten.  Zur Erweiterung unseres Teams suchen wir per sofortoder nach Vereinbarung:   Bauführer / Gartenbautechniker HF   Ihr Aufgabengebiet  Sie sind in den ganzen Ablauf von der Planung/Offertstellung,AVOR und Bauleitung bis hin zur Abrechnung involviert.  Ihre Aufgabengebiete umfassen anspruchsvolle Neuanlagen/Gartenumänderungim privaten und öffentlichen Bereich.  Unsere Erwartungen  Selbständigkeit sowie Freude am Arbeiten in einem Team.  Neben Flexibilität, Vielseitigkeit und Engagement solltenSie vor allem auch Freude am Kontakt mit unseren Kundenmitbringen.  Wir bieten  Wir bieten Ihnen eine herausfordernde, vielseitige und selbständige Tätigkeitin einem modernen, dynamischen und familiären Betrieb.  Eine angenehme Arbeitsatmosphäre in einem motivierten Team und attraktiveAnstellungsbedingungen.   Fühlen Sie sich angesprochen? Dann senden Sie uns docheinfach Ihre vollständigen Bewerbungsunterlagen mitFoto an:  Herr Alfred R. Grunder, Geschäftsführer.  Aemmer AG Garten- und Sportplatzbau,  Oeleweg 12, 3250 Lyss  Tel. Nr. 032 387 79 50  a.grunder@aemmer-gartenbau.ch  Landschaftsgärtner / -in als Vorarbeiter / Gruppenchef  Wir sind eine renomierte Firma im Berner Seeland mit 35 MitarbeiterInnen und modernstem Maschinenpark. Wir sind tätig in den Bereichen Gartenbau, Sportplatzbau und Gartenpflege. Im Zentrum unseres Handelns steht unsere anspruchsvolle und treue Kundschaft.  Sie sind gelernter Landschaftsgärtner/in, mindestens 25 Jahre alt und verfügen bereits über erste Erfahrungen als Vorarbeiter oder Gruppenchef. Sie arbeiten gerne in einem dynamischen Team, freuen sich auf neue, interessante, gärtnerische Herausforderungen und ... ?  Kontakt: Alfred R. Grunder Geschäftsführer Aemmer AG Oeleweg 12 3250 Lyss Tel.: 032 387 79 50;"bauführer horticultural technician hf
the aemmer ag has been creating challenging and beautiful garden and sports grounds for over 85 years.
As a traditional family business with 35 employees and the most modern machinery park, we strive to perform professional and impeccable work.
to expand our team we search by immediately or by agreement 
bauführer horticultural technician hf
your area of work
they are involved in the whole process from planning offering avor and construction management to billing.
their areas of work include sophisticated new facilities for garden conversion in the private and public areas.
our expectations
Independence as well as joy working in a team.
In addition to flexibility and engagement, they should above all also bring joy in contact with our customers.
we offer
we offer you a challenging versatile and independent activity in a modern dynamic and family business.
a pleasant working atmosphere in a motivated team and attractive employment conditions.
feel addressed then send us just your complete application documents with photo to 
Mr alfred r. general manager.
aemmer ag gardening and sports ground construction 
oeleweg 12 3250 lyss
tel. nr. 032 387 79 50
a.gründer@aemmer-gartenbau.ch
landscape gardener -in as a foreman group manager
we are a renowned company in Berner Seeland with 35 employees and state-of-the-art machinery park. we are active in the areas of horticulture sports ground construction and gardening. in the center of our action is our demanding and faithful proclamation.
they are trained landscape gardeners in at least 25 years old and already have first experiences as foreman or group manager. you like to work in a dynamic team looking forward to new interesting gardening challenges and...  
contact alfred r. grunder
Managing Director
Ammer ag
oeleweg 12
3250 lyss
tel.  032 387 79 50";Environ;1;;
14422389;21620;"Sozialrecht;Software-Entwicklungsprozess;Belastbarkeit;Gewissenhaftigkeit;Sozialethik;Sozialarbeit;Sozialhilfe;Selbstkompetenz;Sozialkunde";"Bildung;Sozialwesen";Landschaftsgärtner/in (100%);Als Bildungs- und sozialpädagogisches Zentrum fördert die Stiftung Lerchenbühl Burgdorf Kinder und Jugendliche mit Lernschwierigkeiten und erhöhtem Bedarf in der Entwicklung der Sozial- und Selbstkompetenz und bietet Lösungen für Ausbildung und berufliche Anschluss- und Integrationsmöglichkeiten an.  Wir suchen per 1. Juli 2017 oder nach Vereinbarung eine/n   Landschaftsgärtner/in (100%)   Ihre Aufgaben:  * Gartenpflege und Unterhaltsarbeiten der ganzen Gartenanlage * Mithilfe bei der Betreuung und Ausbildung der Lernenden * Bereitschaft kleinere Umgebungs- und Unterhaltsarbeiten auch ausserhalb der Stiftung zu leisten * Interdisziplinäre Zusammenarbeit   Ihr Profil:  * abgeschlossene Berufslehre als Landschaftsgärtner/in * mehrjährige Berufserfahrung im Bereich Gartenpflege/Parkunterhalt * selbständige Arbeitweise * gute Fach- und Pflanzenkenntnisse * Erfahrung im Obstbau * zuverlässig und belastbar * Führerausweis Kat. B   Wir bieten:  * zeitgemässe Arbeits- und Anstellungsbedingungen nach kantonalen Richtlinien * Mitgestaltung an Aufbau- und Entwicklungsprozessen * selbständiges Arbeiten * angenehmes Arbeitsklima in motiviertem Team * Weiterbildungsmöglichkeiten   Bei Fragen zum Aufgabengebiet steht Ihnen Herr Sandro Schär (Leiter Garten, 034 428 68 74 odersandro.schaer@stiftung-lerchenbuehl.ch) zur Verfügung.  Haben wir Ihr Interesse geweckt? Dann erwarten wir gerne Ihre schriftliche Bewerbung mit den üblichen Unterlagen bis28. Mai 2017an folgende Adresse:  Stiftung Lerchenbühl Markus Spalinger Lerchenbühlweg 9 3401 Burgdorf  markus.spalinger@stiftung-lerchenbuehl.ch  Bewerben …BeworbenBewerbung fortsetzen  Kontaktangaben   Bewerbungsadresse  Stiftung Lerchenbühl  Lerchenbühlweg 9  Postfach 1462  3401 Burgdorf  Schweiz  Internet  http://www.stiftung-lerchenbuehl.ch   Kontaktperson  Herr Markus Spalinger  Gesamtleiter  Telefon: 034 428 68 68  E-Mail  Bemerkungen   Stelle1von1  Landschaftsgärtner/in (100%)   BE · Burgdorf · Stiftung Lerchenbühl  Bewerben …BeworbenBewerbung fortsetzenE-MailFacebookTwitter  * Inhalt * Kontakt * Porträt * Bewerbung * Infos   Infos   Landschaftsgärtner/in (100%)  BE · Burgdorf · Stiftung Lerchenbühl   Inserat-Nr.  J050653   Datum  09.05.2017   Arbeitsort  3401 Burgdorf (BE), Schweiz   Anstellungsverhältnis  Festanstellung   Stellentyp  Mitarbeit   Arbeitspensum  Vollzeit 100%   Stellenantritt per  Juli 2017 oder nach Vereinbarung   Bewerbungen Ausland möglich  Nein   Kategorien  BetriebGastronomie/HotellerieSonderschuleBerufsausbildner + Lehrmeister   Persönliche Anmerkungen  </div></div></div></div></body>;"as an educational and socio-pedagogical centre, the foundation lerchenbühl burgdorf promotes children and adolescents with learning difficulties and increased needs in the development of social and self-competence and offers solutions for training and professional connection and integration opportunities.
we are looking for 1st juli 2017 or agreement an n
landscape gardeners in 100% 
your tasks 
  garden maintenance and maintenance of the whole garden complex
  help with the care and training of the learners
  willingness to perform smaller environmental and maintenance work even outside the foundation
  Interdisciplinary cooperation
your profile 
  completed vocational training as landscape gardener in
  perennial professional experience in the field of garden maintenance park maintenance
  Self-employed
  good technical and plant knowledge
  experience in Obstbau
  reliable and resilient
  driver's card kat. b
we offer 
  current working and employment conditions according to cantonal directives
  co-design of building and development processes
  Self-employed
  pleasant working environment in motivated team
  Training opportunities
if you have any questions about the field of work, you can contact Herr sandro schär head garden 034 428 68 74 or Sandro.schaer@stiftung-lerchenbuehl.ch.

we have aroused your interest then we gladly expect your written application with the usual documents until28. May 2017 at the following address: 

foundation lerchenbühl
markus spalinger
lerchenbühlweg 9
3401 burgdorf

markus.spalinger@stiftung-lerchenbuehl.ch

Apply...Continue application

Contact details


Application address

foundation lerchenbühl

lerchenbühlweg 9

PO Box 1462

3401 burgdorf

Switzerland

internet

http www.stiftung-lerchenbuehl.ch


Contact person

Herr markus spalinger

Total Manager

Telephone 034 428 68 68

e-mail

Notes


position1of1

landscape gardeners in 100% 


be · burgdorf · foundation lerchenbühl

apply...apply application continue-mailfacebooktwitter

contents
Contact portrait advertising
infos

landscape gardeners in 100% 
be · burgdorf · foundation lerchenbühl inserat-nr.
j050653 Date 09.05.2017
Place of work 3401 burgdorf be switzerland
Employment ratio Fixed
set type co-operation
total labour force

Full time 100%

Employment per person
juli 2017 or under agreement
advertising abroad possible

yes
categories

business catering hotelleriespecial schoolapprentice teacher

Personal comments";Environ;1;;
14616465;21420;"Multitasking;Bauingenieurwesen;Microsoft Office;Computer Aided Design;Eigenverantwortung;Mobilität;AutoCAD Civil 3D";Architektur und Planung;Ingénieur en génie civil;Ingénieur en génie civil   1804 Corsier-sur-Vevey  Bureau d'ingénieurs et gèomètre de l'Est vaudois actif depuis plus de 50 ans dans le domaine du génie civil cherche pour renforcer son équipe de Vevey et Aigle, un(e)  Ingénieur en génie civil  Domaine d'activité  Equipement de terrain, aménagements routiers, ouvrages d'évacuation des eaux et d'adduction d'eau potable, murs et structures de soutènement, divers ouvrages pour les collectivités publiques et les propriétaires privés.  Mandat de gestion des garanties, des formulaires de déclaration et suivi des projets de tiers pour l'Office fédéral des routes (OFROU).  Votre profil  Vous avez de l'expérience dans l'élaboration de projets de génie civil, la mise en soumission et le suivi de chantier.  Vous maîtriser les outins DAO de conception AutoCAD, AutoCAD Civil 3D, COVADIS et la suite Microsoft Office.  Vous êtes dynamique, polyvalent, à l'aisse dans les contacts et capable de travailler seul et en équipe.  Nous vous offronsun poste de travail flexible et évolutif au sein d'un bureau pluridisciplinaire composé d'une trentaine de collaborateurs, ouvets aux nouvelles technologies et aux nouveaux développements.  Toute offre de service complète est attendue avec grand intérêt.   Sur jobup.ch, postulez avec votre mobile !  GÉO SOLUTIONS ingénieurs SA   Monsieur Sindo Alonso Av. Reller 42 1804 Corsier-sur-Vevey Téléphone : 021 925 36 00 http://www.geo-solutions.chLieu:1804 Corsier-sur-VeveyType de contrat :Permanent 70% -80%  Autres offres de la société   Catégories d'emploi  Bâtiment / Construction / Travaux publicsIngénieur du bâtiment;"civil engineering engineer


1804 corsier-sur-vey

office of engineers and eastern voodoo gauge active for more than 50 years in the field of civil engineering is seeking to strengthen its team of vevey and eagle a 

civil engineering engineer

field of activity

road infrastructure water disposal and drinking water supply structures walls and support structures various structures for public and private communities.

mandate to manage the guarantees of the reporting forms and follow-up of third party projects for the Federal Office of Roads ofrou.

your profile

you have experience in the development of civil engineering projects the submission and monitoring of construction site.

master the autocad civil 3d covadis autocad design dao and the microsoft office suite.

you are versatile dynamic in contacts and able to work alone and as a team.

We offer you a flexible and scalable workstation in a multidisciplinary office made up of about 30 people working on new technologies and developments.

Any full service offer is expected with great interest.


on jobup.ch apply with your mobile  

geo solutions engineers sa


Mr. sindo alonso
av. reller 42
1804 corsier-sur-vey
telephone 021 925 36 00
http www.geo-solutions.chlieu 1804 corsier-sur-veytype permanent contract 70% -80%

other offers of the company


categories of employment

building construction public works building engineer";Environ;1;;
14617343;21620;"Freizeitindustrie;Landschaftsarchitektur;Geschäftsprozess;Berufspraktikum";"NPO;Öffentliche Verwaltung";Praktikum Landschaftsentwicklung Naturpark Gantrisch;24.05.2017  Praktikum Landschaftsentwicklung Naturpark Gantrisch   Der Naturpark Gantrisch sucht eine(n) Praktikant(in) 50-60 % im Bereich Landschaftsentwicklung für 3 bis 6 Monate. Sie bekommen dabei einen Einblick in das Projekt Orts- und Landschaftsbilder und lernen die Pärkepolitik in der Schweiz kennen. Sie werden in einem kleinen Team eng in die tägliche Projektarbeit einbezogen und sammeln Erfahrungen im Projektmanagement sowie in den Prozessen eines Naturparks.  Bewerbungsfrist: 18. Juni 2017.  Inserat;"24.05.2017

practical landscape development naturpark gantrisch


the nature park Gantrisch is looking for a n internship in 50-60 % in the area of landscape development for 3 to 6 months. you get an insight into the project site and landscape images and get to know the Pärkepolitik in Switzerland. you will be closely involved in the daily project work in a small team and will gain experience in project management as well as in the processes of a nature park.

application deadline 18 June 2017.

Inserate";Environ;1;;
14515774;21430;"Verhandlungsgeschick;Stellenbeschreibung;Dienstleistungsorientierung;Anpassungsfähigkeit;Biodiversität;Eigenverantwortung;Französisch";Öffentliche Verwaltung;Fachspezialist/in Biodiversität 70 - 100%;Firmenportrait   Das Amt für Wald des Kantons Bern koordiniert und wahrt die Interessen am Wald, befasst sich mit dem Schutz vor Naturgefahren und bewirtschaftet die kantonseigenen Wälder.  Wir suchen für den Bereich Schutzwald, Biodiversität und Waldschutz per 1. Oktober 2017 oder nach Vereinbarung eine engagierte Fachperson.   Stellenbeschreibung   Ihre Aufgaben:  Sie sind verantwortlich für das Aufgabengebiet Biodiversität im Wald. Sie übernehmen die Verantwortung für die Weiterentwicklung der Förderinstrumente in diesem Bereich und sorgen für deren effizienten Einsatz durch den Forstdienst. Unterstützend begleiten Sie Arbeiten in den Bereichen Schutzwald und Waldschutz. Sie wirken in bereichs- und amtsübergreifenden Projekten mit und sind Mitglied der kantonalen Fachgruppe Waldbiodiversität.   Anforderungsprofil   Ihre Fähigkeiten:  Sie sind Forstingenieur/in FH/ETH, haben ein Masterdiplom in Umweltnaturwissenschaften oder eine gleichwertige Ausbildung. Wir suchen eine Fachperson mit mehreren Jahren Berufserfahrung, vorzugsweise im Fachgebiet Biodiversität. Sie sind verhandlungsstark und dienstleistungsorientiert. Ihr politisches Gespür fürs Machbare und ihr Geschick für die Aufgabenkoordination an der Schnittstelle zu unseren dezentralen Verwaltungseinheiten runden Ihr Profil ab. Gute Französischkenntnisse sind von Vorteil.   Wir bieten   Wir bieten:  Wir bieten Ihnen eine herausfordernde und interessante Aufgabe mit vielen Gestaltungsmöglichkeiten, einem starken Bezug zur Praxis und flexiblen Arbeitszeiten (Jahresarbeitszeitmodell). Der Arbeitsort liegt in der Stadt Bern, wenige Gehminuten vom Bahnhof entfernt.   Kontakt   Kontakt:  Haben wir Ihr Interesse geweckt? Dann senden Sie uns bitte Ihre Online Bewerbung bis23. Juni 2017. Für weitere Auskünfte steht Ihnen Walter Beer, Bereichsleiter Schutzwald, Biodiversität und Waldschutz, Tel. 031 633 46 15, oder Philippe Graf, stellvertretender Bereichsleiter, Tel. 031 633 49 60, zur Verfügung.  Homepage: www.be.ch/wald;"company portrait 

the amt für wald des cantons bern coordinates and preserves the interests of the forest deals with the protection from natural hazards and manages the canton's own forests.

we are looking for the area of forest biodiversity and forest protection on 1 October 2017 or by agreement a dedicated specialist.


Description 

your tasks 

they are responsible for the biodiversity in the forest. they assume responsibility for the further development of the support instruments in this area and ensure their efficient use by the forest service. support you work in the areas of forest protection and forest protection. they participate in cross-sectoral and inter-official projects and are members of the cantonal subject group forest biodiversity.


requirement profile 

their skills 

you are a forest engineer in fh eth have a master's degree in environmental sciences or equivalent education. We are looking for a specialist with several years of professional experience preferably in the field of biodiversity. they are negotiating strong and service-oriented. your political sense for the feasible and your skill for the task coordination at the interface to our decentralized administrative units round off your profile. good French skills are of advantage.


we offer 

we offer 

we offer you a challenging and interesting task with many design options a strong relation to practice and flexible working hours annual working time model. the place of work is located in the city of bern a few minutes walk from the train station.


Contact 

Contact 

we have aroused your interest then please send us your online application until23. June 2017.
for further information is available to you walter beer division head of protection forest biodiversity and forest protection tel. 031 633 46 15 or philippe graph Deputy Head of Division tel. 031 633 49 60.

homepage www.be.ch forest";Environ;1;;
14567810;31120;"Einfallsreichtum;Umwelttechnik;Hydraulik;Wasserbau;Kommunikationsfähigkeit;Eigenverantwortung;Biologie;Unternehmerisches Denken";Architektur und Planung;Projektleiter/in Wasserbau;Ihre Aufgaben   * Sie leiten unsere Planungsvorhaben von der Projektierung bis zur Realisierung und Inbetriebnahme * Sie sind gewillt, Verantwortung zu übernehmen für die fachliche, finanzielle und terminliche Projektabwicklung * Sie organisieren und führen das Projektteam, setzten die Ziele und planen die Einsätze * Sie bringen Ihr fundiertes Fachwissen ein und sorgen für die Qualitätssicherheit * Sie stehen in direktem Kontakt zu den Auftraggebern und Kunden, weisen sie auf Chancen und Risiken hin und beraten sie zu ihrem Besten * Sie akquirieren neue Aufgaben   Ihr Profil  Sie verfügen über einen Abschluss einer Hochschule oder Fachhochschule sowie einige Jahre Berufserfahrung, haben eine Affinität zur Materie und interessieren sich für Themen rund um Hochwasserschutz und Gewässerrevitalisierung. Sie denken kreativ, handeln unternehmerisch und besitzen gute kommunikative Fähigkeiten.  Was wir bieten  Als etabliertes, mittelgrosses Familienunternehmen bieten wir Ihnen ein abwechslungsreiches Tätigkeitsfeld  mit herausfordernden Projekten. Es erwartet Sie eine Vielfalt von Aufgabenstellungen an Dorf-, Wiesen- und Bergbächen, aber auch an Flüssen wie der Emme und der Aare, welche es in Zusammenarbeit mit Gemeinden, Fachstellen von Bund und Kantonen sowie Grundeigentümern zu lösen gilt. Sie arbeiten in einem überblickbaren Team und geniessen gleichzeitig die Vorteile einer gut vernetzten Unternehmensgruppe. Abgängig von Interesse und Erfahrungsschatz sind Aufgaben in der Ingenieurbauleitung möglich oder bei Eignung und entsprechender Entwicklung die Übernahme von weiterführenden Leitungsaufgaben.  Das Team  Unser Fachbereich besteht aus 12 motivierten Mitarbeitenden. Gemeinsam decken wir ein breites Fachwissen ab, angefangen beim Wasserbau und Hydraulik bis zur Umwelttechnik und Biologie. Experten, auch aus angrenzenden Disziplinen wie Geotechnik, Strassenbau und Kunstbauten geben ihre wertvollen Erfahrungen weiter. Routinierte Bauzeichner erstellen in Zusammenarbeit mit unseren Lernenden hochwertige Plandarstellungen und Visualisierungen, während die Bauleiter in den Projektphasen Ausschreibung und Realisierung für eine fachgerechte Ausführung besorgt sind. Unser Team freut sich auf Ihre Verstärkung und Ihre frischen Ideen!;"your tasks


  you manage our planning projects from project planning to realization and commissioning
  you are willing to assume responsibility for the technical financial and on-time execution of the project
  they organize and guide the project team set the goals and plan the deployments
  they bring in their well-founded expertise and ensure quality assurance
  you are in direct contact with the contractors and customers point out opportunities and risks and advise you on your best
  they acquire new tasks


your profile

you have a degree from a university or university of applied sciences as well as a few years of professional experience have an affinity to matter and are interested in topics relating to flood protection and water revitalization. they think creatively acting entrepreneurially and possess good communicative skills.

what we offer

As an established middle-sized family company, we offer you a varied field of activity with challenging projects. you can expect a variety of tasks at village and mountain streams but also at rivers such as the emme and the aare, which must be solved in cooperation with joint departments of federation and cantons as well as landowners. you work in a transparent team and at the same time enjoy the advantages of a well-connected corporate group. From the point of view of interest and wealth of experience, tasks in the engineering management are possible or, if appropriate and appropriate development, take on further management tasks.

the team

our department consists of 12 motivated co-workers. together we cover a wide range of expertise from water engineering and hydraulics to environmental engineering and biology. experts also from adjacent disciplines such as geotechnics street construction and art buildings pass on their valuable experiences. routine design designers create high-quality diagrams and visualisations in collaboration with our learners, while the builders in the project phases are concerned with advertising and realization for professional execution.
our team is looking forward to your enhancement and your fresh ideas";Environ;1;;
14667897;21620;"Sozialrecht;Belastbarkeit;Gewissenhaftigkeit;Sozialethik;Sozialarbeit;Sozialhilfe;Selbstkompetenz;Sozialkunde;Eigenverantwortung";"Bildung;Sozialwesen";Landschaftsgärtner/in 100% (befristete Vertretung);Als Bildungs- und sozialpädagogisches Zentrum fördert die Stiftung Lerchenbühl Burgdorf Kinder und Jugendliche mit Lernschwierigkeiten und erhöhtem Bedarf in der Entwicklung der Sozial- und Selbstkompetenz und bietet Lösungen für Ausbildung und berufliche Anschluss- und Integrationsmöglichkeiten an.  Wir suchen per sofort bis 30. September 2017 eine/n  Landschaftsgärtner/in 100% (befristete Vertretung)  Ihr Aufgabenbereich:  Gartenpflege und Unterhaltsarbeiten der ganzen Gartenanlage, Mithilfe bei der Betreuung und Ausbildung der Lernenden, Bereitschaft kleinere Umgebungs- und Unterhaltsarbeiten auch ausserhalb der Stiftung zu leisten.  Ihr Profil:  - Abgeschlossene Berufslehre als Landschaftsgärtner/in - Mehrjährige Berufserfahrung im Bereich Gartenpflege/Parkunterhalt - Selbständige Arbeitsweise - Gute Fach- und Pflanzenkenntnisse - Erfahrungen im Obstbau - Zuverlässig und belastbar - Führerausweis Kat. B  Wir bieten:  - Zeitgemässe Arbeits- und Anstellungsbedingungen nach kantonalen Richtlinien - Selbständiges Arbeiten, angenehmes Arbeitsklima in motiviertem Team  Bei Fragen zum Aufgabengebiet steht Ihnen Sandro Schär (Leiter Garten, 034 428 68 74 (Büro) / 034 428 68 70 (Laden) oder  ... ) zur Verfügung.  Haben wir Ihr Interesse geweckt? Dann erwarten wir gerne Ihre schriftliche Bewerbung mit den üblichen Unterlagen bis spätestens 30. Juni 2017 an folgende Adresse:  STIFTUNG LERCHENBÜHL  ...  Lerchenbühlweg 9 3400 Burgdorf  oder per Mail:   ...   Stiftung Lerchenbühl, Lerchenbühlweg 9, 3400 Burgdorf www.stiftung-lerchenbuehl.ch;"as an educational and socio-pedagogical centre, the foundation lerchenbühl burgdorf promotes children and adolescents with learning difficulties and increased needs in the development of social and self-competence and offers solutions for training and professional connection and integration opportunities.

we are looking for an n immediately until 30. september 2017

landscape gardeners in 100% temporary representation 

your field of work 

garden maintenance and maintenance work of the whole garden complex with the help of the support and training of the learner willingness to perform smaller environment and maintenance work even outside the foundation.

your profile 

- completed vocational training as landscape gardener in
- multi-year professional experience in garden maintenance park maintenance
- self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed - self-employed
- good technical and plant knowledge
- experiences in Obstbau
- reliable and resilient
- driver's card, kat. b

we offer 

- current working and employment conditions according to cantonal directives
- independent work pleasant working environment in motivated team

if you have any questions about the field of work, you can download sandro sharp ladder garden 034 428 68 74 office 034 428 68 70 or...

we have aroused your interest then we gladly expect your written application with the usual documents by June 30, 2017 at the following address 

foundation lerchenbühl
 ................................................................................................................................................................................................................................................................................................................................................................................................ 
lerchenbühlweg 9
3400 burgdorf

or by mail 

 ................................................................................................................................................................................................................................................................................................................................................................................................ 

foundation lerchenbühl lerchenbühlweg 9 3400 burgdorf
www.stiftung-lerchenbuehl.ch";Environ;1;;
14662499;21650;"Geografisches Informationssystem (GIS);Führung;Teamfähigkeit;Werkzeuge;Büroanwendungen;Geomatik;Eigenverantwortung;Datenbanken";Öffentliche Verwaltung;Géomaticien-ne 100%;"La Direction générale de l'environnement recherche un-e:Géomaticien-neCDD 100%  MISSIONS PRINCIPALES  Vous établissez et mettez à jour les autorisations à ""bien-plaire"" et les concessions pour l'utilisation du domaine public cantonal. Vous mettez à l'enquête publique et organisez la consultation des dossiers au sein de l'administration cantonale selon la Loi vaudoise sur la police des eaux. Vous assurez la cohérence des systèmes géomatiques de la Division ressources en eau et économie hydraulique (DGE-EAU). Vous assurez la mise à jour des données des bases informatiques de la division.  PROFIL SOUHAITÉ  CFC de géomaticien ou diplôme HES ou équivalent utile à la fonction. Connaissance des outils géomatiques et de la gestion de bases de données géo-référencées. Expérience professionnelle de 5 ans dans la géomatique ou SIG. Maîtrise des outils bureautiques. Capacité à travailler en équipe et de manière autonome.Lieu de travail:Lausanne Classe salariale:8 Divers:CDD du 1er août 2017 au 30 juin 2019Forte d'environ 350 collaboratrices et collaborateurs répartis sur l'ensemble du territoire vaudois, la Direction générale de l'environnement (DGE) met en œuvre les politiques publiques dans les domaines de l'énergie, de l'environnement et de la préservation du patrimoine naturel. Elle se divise en trois directions métier et une direction générale comprenant les unités de support.DOSSIER DE CANDIDATURE DGE-DIRNA Section domaine public Monsieur Giacinto Zucchinetti Rue du Valentin 10 1014 Lausanne giacinto.zucchinetti@vd.ch Référence: 1281447 DÉLAI DE POSTULATION 11 juillet 2017RENSEIGNEMENTS Monsieur Giacinto Zucchinetti Tél. 021 316 75 03  www.vd.ch/dgeCahier des charges";"Directorate-General for the Environment
search un-e geomaticien-necdd 100%

Main missions

you establish and update the authorizations and concessions for the use of the cantonal public domain.
you put to the public inquiry and organize the consultation of the files within the cantonal administration according to the Vaudois law on the water police.
you ensure the consistency of the geomatics systems of the division of water resources and hydraulic economy dge-water.
ensure that you update the division's database data.

desired profile

cfc of geomatician or diploma hes or equivalent useful to the function.
knowledge of geomatics tools and geo-referenced database management.
5-year professional experience in geomatics or sig.
mastery of office tools.
ability to work as a team and independently.Lausanne workplace
salary class 8
various cdd from 1 August 2017 to 30 June 2019with around 350 collaborators throughout the territory of Vaud, the Directorate-General for the Environment dge implements public policies in the fields of the energy of the environment and the preservation of the natural heritage. it is divided into three business directorates and a general directorate comprising the support units.candidacy file
dge-dirna
Public Domain Section
Mr. giacinto zucchinetti
rue du valentin 10
1014 lausanne
giacinto.zucchinetti@vd.ch
reference 1281447
time limit for postulation
11 July 2017Information
Mr. giacinto zucchinetti
Tel. 021 316 75 03

www.vd.ch dgecahier des charges";Environ;1;;
14661947;21620;"Begeisterungsfähigkeit;Erscheinungsbild;Französisch";Land- und Forstwirtschaft;Paysagiste;Paysagiste ou aide qui est motivé  - Bon français et bonne présentation  Mission : jusqu'au 31.10.2017  Permis de conduire et véhicule;"landscaper or aid that is motivated
- good French and good presentation
mission until 31.10.2017
driver's licence and vehicle";Environ;1;;
14661684;21650;"Begeisterungsfähigkeit;Gewissenhaftigkeit;Mobilität;Einsatzbereitschaft";"Architektur und Planung;Rechts- und Unternehmensberatung";Géomaticien / Géomaticienne;Le bureau d'études ROSSIER SA est un bureau d'ingénieurs - géomètres officiels implanté depuis 40 ans dans la région de La Côte (Aubonne et Gland). Nous recherchons pour renforcer notre équipe :  Un(e) Géomaticien(ne) À 80 ou 100%  Impératifs :  Titulaire d'un CFC de géomaticien  Quelques années d'expériences professionnelles, en particulier dans les SIT/SIG seraient un plus Motivé par de nouveaux défis Dynamique, doué d'esprit d'initiative, consciencieux et apte à assurer certaines responsabilités au sein de travaux en équipe  Nous vous offrons :  Un travail majoritairement dans les SIT/SIG communaux Une infrastructure moderne et un équipement de dernière génération Une ambiance de travail conviviale et dynamique Des possibilités de formation continue  Intéressé par ce poste ? Transmettez nous vos dossiers par courriels à l'adresse : emploi@rossier-geom.ch  Date d'entrée : dès que possible;"the office of study rossier sa is an office of engineers - official surveyors established for 40 years in the region of the aubonne and gland coast. we are looking to strengthen our team  

a geomatician 
80 or 100%

imperatives  

holder of a geomatician cfc 
a few years of professional experience in particular in sit sig would be a plus
driven by new challenges
dynamic spirited initiative conscientious and capable of carrying out certain responsibilities in team work

we offer you  

a majority of work in the municipal offices
modern infrastructure and state-of-the-art equipment
a friendly and dynamic working atmosphere
opportunities for continuing education and training

Interested in this post send your files to us by email at emploi@rossier-geom.ch

date of entry as soon as possible";Non-Environ;1;sig;
