CATEGORY;SKILL_CONTENT;ORIGINAL_ID;SKILL_ID
Management of Financial Resources;Determining how money will be spent to get the work done, and accounting for these expenditures.;300;1
Management of Material Resources ;Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work.;301;2
Management of Personnel Resources — ;Motivating, developing, and directing people as they work, identifying the best people for the job.;302;3
Time Management —;Managing one's own time and the time of others.;303;4
Active Learning — ;Understanding the implications of new information for both current and future problem-solving and decision-making.;305;5
Active Listening — ;Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.;306;6
Critical Thinking — ;Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.;307;7
Learning Strategies —; Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.;308;8
Mathematics ;Using mathematics to solve problems.;309;9
Monitoring —; Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.;310;10
Reading Comprehension —; Understanding written sentences and paragraphs in work related documents.;311;11
Science —; Using scientific rules and methods to solve problems.;312;12
Speaking ;Talking to others to convey information effectively.;313;13
Writing;Communicating effectively in writing as appropriate for the needs of the audience.;314;14
Instructing —;Teaching others how to do something.;317;15
Negotiation ;Bringing others together and trying to reconcile differences.;318;16
Persuasion ;Persuading others to change their minds or behavior.;319;17
Service Orientation ;Actively looking for ways to help people.;320;18
Social Perceptiveness ;Being aware of others' reactions and understanding why they react as they do.;321;19
Operations Analysis;Analyzing needs and product requirements to create a design.;323;20
Programming;Writing computer programs for various purposes.;324;21
Quality Control Analysis;Conducting tests and inspections of products, services, or processes to evaluate quality or performance.;325;22
Analytical or scientific software ;HEC-RAS, IWR-PLAN;327;23
Computer aided design CAD software ;Autodesk, AutoCAD ;328;24
Electronic mail software;Email software;331;25
Map creation software — ;ESRI,  ArcGIS software, ESRI ArcMap, QGIS;332;26
Project management software  ;Microsoft Project, Microsoft Share Point;333;27
Inductive Reasoning ;The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).;339;28
Originality ; The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.;340;29
Written expression;The ability to communicate information and ideas in writing so others will understand.;341;30
Work With Work Group or Team ;How important is it to work with others in a group or team in this job?;343;31
Responsible for Others' Health and Safety;How much responsibility is there for the health and safety of others in this job?;345;32
Public Speaking ;How often do you have to perform public speaking in this job?;346;33
Responsibility for Outcomes and Results ;How responsible is the worker for work outcomes and results of other workers?;347;34
Deal With External Customers ;How important is it to work with external customers or the public in this job?;348;35
Time Pressure — ;How often does this job require the worker to meet strict deadlines?;349;36
Importance of Being Exact or Accurate;How important is being very exact or highly accurate in performing this job?;350;37
Achievement/Effort ;Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.;352;38
Adaptability/Flexibility;Job requires being open to change (positive or negative) and to considerable variety in the workplace.;353;39
Analytical Thinking ;Job requires analyzing information and using logic to address work-related issues and problems.;354;40
Attention to Detail ; Job requires being careful about detail and thorough in completing work tasks.;355;41
Concern for Others ; Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.;356;42
Cooperation ;Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.;357;43
Dependability ; Job requires being reliable, responsible, and dependable, and fulfilling obligations.;358;44
Independence;Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.;359;45
Initiative ;Job requires a willingness to take on responsibilities and challenges.;360;46
Innovation ;Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.;361;47
Integrity ;Job requires being honest and ethical.;362;48
