ID;ISCO;SKILLS;BRANCHE;ARBEITSORT;KANTONE;FIRMENGROESSE;BERUFSERFAHRUNG;AUSBILDUNGSNIVEAU;ZUDATUM;ABDATUM;FIRMA;JOBTITEL;JOBS;CONTENT
20533641;20000;"Kommunikationsfähigkeit;Umwelt;Python;Umsicht;Statistik;Spiele;Begeisterungsfähigkeit;Programmierung;Meteorologie;Wissenschaft;Teamfähigkeit;Physik";Öffentliche Verwaltung;CH-1211 Genève;GE;Kleinstunternehmen;;MASTER;43971;44001;Office fédéral de météorologie et de climatologie MétéoSuisse;Collaboratrice/ Collaborateur scientifique 80%;Wissenschaftlicher Assistent;<p>L'Office fédéral de météorologie et de climatologie MétéoSuisse recherche pour le 1er octobre 2020 ou à convenir, un ou une <strong>Collaboratrice/ Collaborateur scientifique</strong> <strong>80% / Genève</strong> <strong>MétéoSuisse Bon à savoir</strong> Comme Collaboratrice/Collaborateur scientifique dans l'équipe Postprocessing et Vérification, vous êtes responsable du développement et de l'exploitation de logiciels permettant le traitement automatique de la grande quantité d'informations provenant des modèles de prévisions numériques du temps. L'équipe de Postprocessing et Vérification, qui fait partie de la division Développement des Prévisions de MétéoSuisse, est chargée de l'exploitation et du développement de nouvelles méthodes de prévisions automatiques ainsi que de systèmes d'aide à la décision. <strong>Vos tâches</strong> * Développer et implémenter des méthodes ou programmes pour la production de prévisions météorologiques, par exemple par l'agrégation de différentes sources d'information pour l'alimentation du sites web MétéoSuisse et de son application mobile. * Appliquer des méthodes statistiques et/ou de machine learning pour améliorer les prévisions météorologiques, mais aussi pour développer des outils d'analyse et de visualisation des données météorologiques pour des clients internes et externes. * Assurer le fonctionnement opérationnel, et la qualité des systèmes de production automatisés d'un point de vue technique et scientifique. * Diriger des projets scientifiques et technique, répondre aux besoins de clients en relation avec le traitement automatique des informations météorologiques. * Collaborer étroitement avec des experts de MétéoSuisse à Zurich et à Locarno, mais aussi avec des clients clés pour la Confédération Suisse ainsi que des partenaires nationaux et internationaux. <strong>Vos compétences</strong> * Master en sciences de l'atmosphérique, de l'environnement, de la physique, de l'informatique ou similaire, idéalement avec un doctorat * Connaissances approfondies du traitement d'important jeux de données multidimensionnelles (ordre du Téraoctet) en temps réel provenant de modèles numériques de prévisions météorologiques et d'observation du temps. Bonnes connaissances en statistique et/ou en machine learning. * Connaissances approfondies de programmation en Python, idéalement aussi de la technologie des containers, de la gestion des messages entre service, et l'utilisation du cloud. * Bonnes connaissances en météorologie, en particulier dans les Alpes. * Personne motivée, communicative et ayant l'esprit d'équipe. * Bonnes connaissances de deux langues officielles et maîtrise de l'anglais <strong>Informations supplémentaires</strong> Pour plus d'informations, veuillez contacter Dr Lionel Moret, Chef de l'équipe Postprocessing et Vérification, tél. +41 58 460 98 55 <strong>À propos de l'employeur</strong> L'Office fédéral de météorologie et de climatologie MétéoSuisse est le service de météorologie nationale suisse. Nous relevons des données météorologiques et climatiques et effectuons des prévisions pour notre pays. Nous contribuons durablement au bien-être de la population et fournissons des prestations utiles à l'économie, la science et l'environnement. L'administration fédérale est attentive aux différents parcours de vie de ses collaborateurs et collaboratrices et en apprécie la diversité. Elle accorde la plus haute priorité à l'égalité de traitement. Les offices du DFI s'engagent pour garantir de bonnes conditions de travail et s'investissent pour la santé de leurs collaborateurs. Ils ont reçu le label Friendly Work Space®.</p> 
20141197;21430;"Kommunikationsfähigkeit;Nachhaltigkeit;Modellieren;Umsicht;Projektmanagement;Kontaktfähigkeit;Begeisterungsfähigkeit;Führungsqualitäten;Exakte Arbeitsweise;Optimismus;Management;Analytisches Denken;Problemlösungsorientierung;Clientmanagement;Ökonomie;Allgemeinbildung;Ausdauer;Senioren;Eigenverantwortung;Leitung Public Relations;Teamfähigkeit;Kundenbedürfnis;Organisationsfähigkeit;Gute Konstitution;Garten- und Landschaftsbau;Messegestaltung;Experimentierfreudigkeit";"Umwelttechnik;Rechts- und Unternehmensberatung";Lausanne;VD;Mittelunternehmen;;"BACHELOR;MASTER;BASICEDUCATION;MATURA;CERTIFICATE;EBA;DIPLOMA;UAS;BMS;DMS;EDUCATION;PHD;BP;HFP;CAS;COLLEGE;HIGHEREDUCATION;DAS;EFZ;UNIVERSITY;ADVANCEDTRAINING;HF;MAS";43892;44031;Quantis International SA;Senior Sustainability Consultant;Umweltberater;"<h1>Senior Sustainability Consultant</h1> <h2>Why you’ll love Quantis</h2> <p>Quantisians are agents of change, working to build a sustainable future. We guide top organizations to define, shape and implement intelligent environmental sustainability solutions. You’d be part of a dynamic team of ‘creative geeks’ that takes the latest science and makes it actionable. We do that by delivering resilient strategies, robust metrics, useful tools, and credible communications to a diverse set of companies, brands, and public and private organizations. The exciting part about being in a consulting group is that you’ll have the opportunity to contribute to a multitude of game-changing sustainability topics, challenges and solutions. The bonus is you’ll work with the world’s sustainability experts and leaders in the Quantis ecosystem of colleagues and partners.&nbsp;</p> <p>Together, we form a dynamic team of 100+ talents that cultivate a special team spirit that is both purpose-driven and empowering. Our group is truly different.<i>Curious?</i>Our talentsgive you the inside scoop.</p> <p>Learn moreabout Quantis and our Mission.&nbsp;</p>Discover all Quantis opportunities <p>We’re hiring a senior consultant with strong project management skills to join our Lausanne team.</p> <h2>Does this describe you and your next role?</h2> <ul>  <li>You’re motivated to put your <strong>consulting</strong>, <strong>project management</strong>, and <strong>analysis skills</strong> to work towards our mission of building a sustainable future.</li>  <li>You’re an experienced, curious, and organized <strong>sustainability consultant</strong>, a sharp scientific analyst looking for a big opportunity to work with top sustainability leaders and experts.</li>  <li>You get excited about <strong>guiding</strong> global companies to understand and improve their environmental performance and collaborate on deploying actions to drive change in their organizations as well as to communicate credibly on their efforts.</li>  <li>You’re a <strong>team player</strong> that works quickly, independently and on schedule. You know how to structure your own work and build relationships with teammates and clients.</li>  <li>For 5+ years, you’ve been <strong>managing LCA and sustainability-related projects</strong> in a consulting or industry context. You have performed, managed, interpreted and communicated on results and sustainability topics, preferably in food or packaging industries.</li>  <li>You have a strong experience in <strong>managing complex projects</strong>, on a wide range of sustainability topics.</li>  <li>You know how to <strong>prioritize between different projects</strong> at the same time in order to meet various deadlines.</li>  <li>You have good experience with <strong>LCA modeling and environmental footprinting</strong>, using multiple tools.</li>  <li>You have a <strong>Master’s degree</strong> in engineering, environmental science or similar discipline.</li>  <li>You have strong general quantitative and qualitative <strong>analytical skills.</strong></li>  <li>You communicate effectively and efficiently in fluent <strong>French</strong> and <strong>English</strong> (written and oral).</li>  <li>You have a <strong>thorough understanding of sustainability topics</strong>, services, market needs relevant to Quantis. In particular, you have a good understanding of the local (Swiss) regulatory and economic landscape.</li>  <li>You have demonstrated ability to <strong>coach</strong>, <strong>teach</strong>, and <strong>mentor</strong> others with your knowledge and skills.</li>  <li>You have demonstrated high levels of teamwork, interpersonal skills, attention to detail and quality, self-motivation, determination in managing complex analytical challenges and problem-solving skills.</li>  <li>You have a <strong>science- and metrics-based orientation</strong>, and a deep intellectual and business curiosity, combined with strong interpersonal skills and the ability to communicate complex information in clear, understandable ways to internal and external audiences.</li> </ul> <h2>As a Senior Sustainability Consultant here’s a preview of what type of work your days will include:</h2> <ul>  <li>Client project delivery: Manage various missions (LCA, corporate footprints, eco-design, climate strategies,…) as project manager ensuring deliverable quality:   <ul>    <li>Performing LCA modeling or other analytical work, or project lead/project management role.</li>    <li>Supporting/managing client interactions, such as project meetings/calls, etc.</li>    <li>Developing or supporting development of interim and final client deliverables.</li>   </ul></li>  <li>Support to the business development efforts: Work with business developers on new project proposals or client discussions.</li>  <li>Thought leadership: Developing and sharing Quantis thought leadership on LCA topics and trends; participating in relevant internal LCA-related initiatives or projects.</li>  <li>Training: Identifying needs, developing and delivering internal and/or client- facing training on key LCA topics.</li> </ul> <h2>To thrive in the Quantis culture, you’ll:</h2> <ul>  <li>Show up as team collaborator with a win-win attitude: empathetic, attentive and supportive of colleagues.</li>  <li>Take responsibility and ownership for your work: think and act with autonomy, while knowing when to ask for help.</li>  <li>Take initiative if something needs to be done.</li>  <li>Be positive! Use positive language, look at challenges not as bottlenecks, but as problems to solve, and see failure as a lesson learned.</li>  <li>Practice open and transparent communication; welcome effective dialogue and productive disagreement with minimal tension.&nbsp;</li>  <li>Self-Manage: be in the driver’s seat of your professional growth and ambitions all the while valuing the learning journey and opportunities within Quantis.</li> </ul> <p>Quantis has a unique, fluid structure nurtured by our Quantis Spirit and our way of collaborating. Learn more about our culture in thisGreenBiz interview with our former CEO.</p> <h2>Some logistics to consider</h2> <ul>  <li>Location: Lausanne</li>  <li>Job type: Full-time contract</li>  <li>Optimal start date: Q3</li>  <li>Frequent collaboration with other Quantis branches (Paris, Zürich, Boston, Berlin, and Milan) via web-conferences, in French or English</li>  <li>Ability to travel, primarily in Europe</li> </ul> <p>Quantis offers a positive work environment, competitive salaries, a wide range of benefits, as well as generous and flexible vacation time. Salary will be determined based on level of experience and potential for contribution to the organization’s success.&nbsp;</p> <p>View our “Quantis has talent!” video to learn about what makes Quantis an exceptional place to work and develop.&nbsp;</p> <p><b>To apply for this position click here,</b>you will then be redirected to our online application system to upload your CV and answer 10 questions.&nbsp;</p>Apply for this position"
20912180;21430;"Hydraulik;Eigenverantwortung;Verantwortungsbewusstsein;Mitarbeitermotivation;Exakte Arbeitsweise;Wasseraufbereitung;F#;Umwelt;Werkzeuge";Personalberatung;1920 Martigny;VS;Grossunternehmen;;"BACHELOR;MASTER;DIPLOMA;UAS;UNIVERSITY";44047;44054;Adecco;Ingénieur en environnement EPF ou HES orientation gestion et planification des eaux à 100% (H/F);Umweltschutztechniker;À la recherche d'une nouvelle opportunité en tant qu'ingénieur/e en environnement orientation gestion et planification des eaux ? Saisissez l'opportunité ! <h2>Ingénieur en environnement EPF ou HES : orientation gestion et planification des eaux à 100% (H/F)</h2> <p><b>Votre défi</b></p> <ul>  <li>Participer activement au développement du domaine des eaux usées et eau potable</li>  <li>Mener des projets dans les domaines du traitement des eaux usées, de l'évacuation des eaux usées et de l'eau potable, y compris la direction des travaux</li>  <li>Travailler en équipe pluridisciplinaire en relation avec la direction et l'équipe</li>  <li>Contribuer au développement de nouvelles compétences</li>  <li>Participer au suivi administratif et organisationnel de l'entreprise</li> </ul> <p><b>Vos compétences</b></p> <ul>  <li>Diplôme d'ingénieur(e) EPF ou HES en environnement ou civil</li>  <li>Minimum 5 ans d'expérience en tant qu'ingénieur(e) dans le domaine des eaux potables et/ou usées</li>  <li>Aisance dans la rédaction de rapports techniques et bonnes connaissances en hydraulique et traitement des eaux</li>  <li>Des connaissances des les outils SIT et/ou en CAO/BIM, un atout</li>  <li>Vous avez de l'Initiative, le sens des responsabilités, l'autonomie et le rigueur</li>  <li>Vous avez une attitude innovatrice et un souci constant de la protection de l'environnement</li> </ul> <p><b>Vos perspectives</b></p> <ul>  <li>Des projets variés</li>  <li>Une ambiance de travail agréable et dynamique</li> </ul> <p><b>Votre contact</b></p>M. Raphaël Naoux, Branch Director, répond à toutes vos questions au Tel. +41 58 233 3140. <br> <br>Cette annonce ne correspond pas à 100% à vos attentes ? Vous trouverez plus d'offres d'emploi en Valais sur ce lien <br> <br>Merci de préciser la référence 181-RANA-164190-8-FR. <br> <br>
19968711;"21310;21410";"Umwelt;Ingenieurwesen;Mitarbeitermotivation;Unternehmen ES;Führungsqualitäten;Exakte Arbeitsweise;Organisation;Analytisches Denken;Eigenverantwortung;Technik;Teamfähigkeit;Posterdesign";Rechts- und Unternehmensberatung;CH-1203 Genève;GE;Kleinunternehmen;"Ingenieur-Jobs;Techniker-Jobs;Postdienste von Universaldienstleistungsanbietern;Umweltschutz-Ingenieur;Öko-Jobs;Umweltschutztechniker";"BACHELOR;MASTER;COLLEGE;DIPLOMA";43864;44004;Ecotec Environnement SA;Un·e Spécialiste en renaturation de cours d'eau 80 - 100% / Hydrobiologiste ou Ingénieur en gestion de la nature;"Biologe;Wirtschaftsingenieur";"<h1>Offre d'emploi Un·e Spécialiste en renaturation de cours d’eau 80 – 100% / Hydrobiologiste ou Ingénieur en gestion de la nature</h1> <p><strong><u>Nous vous offrons&nbsp;:</u></strong></p> <ul>  <li>Un travail passionnant portant sur des milieux naturels variés.</li>  <li>Une activité diversifiée, de l’étude jusqu’à la réalisation d’aménagements.</li>  <li>L’intégration dans une équipe pluridisciplinaire comportant des écologues, des ingénieurs, et des géologues.</li>  <li>Un salaire attractif dans une entreprise renommée.</li>  <li>Des possibilités réelles d’évolution professionnelle.</li>  <li>Une flexibilité&nbsp;dans l’aménagement du temps de travail.</li> </ul> <p><strong><u>Un travail intéressant et diversifié&nbsp;:</u></strong></p> <p><strong>Piloter, coordonner et réaliser</strong> des projets de renaturation de cours d’eau, rives de lac, mesures favorables à la nature.<br><strong>Gestion de projet :&nbsp;Selon les phases SIA de construction, de l’avant-projet jusqu’à la mise en service.</strong> Conception de projets, cartographie sur ArcGis, Autocad, mise en soumission, direction et suivis des travaux.<br><strong>Participation à la politique commerciale :&nbsp;</strong>participer à l’atteinte des objectifs commerciaux de l’entreprise.<br><strong>Production :&nbsp;</strong>constituer une force productive d’ECOTEC pour une partie significative de son temps (conduite d’études en tant que chef de projet).</p> <p><strong><u>Lieu de travail :</u></strong></p> <p>Genève avec des interventions en France et en Suisse.</p> <p><strong><u>Expérience :</u></strong></p> <p>Expérience de 3 ans minimum en relation avec le poste.</p> <p><strong><u>Compétences requises :</u></strong></p> <p>Diplôme de niveau bac+5 dans le domaine de l’hydrobiologie, ingénierie en environnement.</p> <p>Connaissances pointues du génie végétal et des techniques de stabilisation végétales.<br> Compétences techniques en environnement et plus particulièrement en hydrobiologie.</p> <p>Pratique de la pêche&nbsp;: un atout.</p> <p><strong><u>Qualités humaines :</u></strong></p> <ul>  <li>Qualité de leadership</li>  <li>Esprit d’équipe, esprit d’analyse, excellente organisation</li>  <li>Autonomie, rigueur scientifique</li>  <li>Très bonnes capacités rédactionnelles et de synthèse</li> </ul> <p><strong><u>Salaire :</u></strong></p> <p>Selon expérience salaire ingénieur environnement.</p> <p><strong><u>Poste :</u></strong></p> <p>CDI, avec prise de fonction à discuter.</p> <p><strong><u>Renseignements candidatures :</u></strong></p> <p>Envoyer CV et lettre de motivation par mail (candidature@ecotec.ch).</p>"
20506366;23000;"F#;Garten- und Landschaftsbau";Bildung;CH 1422 Grandson;VD;Kleinunternehmen;;;43965;43990;LE REPUIS;Un maître socioprofessionnel (H/F) à 100% secteur horticulture paysagisme;Lehrer;<p><strong>Un maître socioprofessionnel (H/F) à 100% secteur horticulture paysagisme</strong></p>
20581259;41200;"Modellierung;Modellieren;Biodiversität;Programmierung;Informationsethik;Spatial;E-Mail;Biogeographie;Informationssuche;Wissenschaftliche Assistenz;Software;Nice";"Bildung;Forschung";CH-1015 Lausanne;VD;Mittelunternehmen;"Statistiker;Software-Jobs;Informatiker-Jobs;Programmierungstätigkeiten;Forscher-Jobs;Programmier-Jobs;Programmierer";PHD;43983;44025;Université de Lausanne;First Assistant (Postdoc) in Spatial Modelling of Species and Biodiversity;Administrativer Assistent;"<b>Introduction</b>  <p>UNIL is a leading international teaching and research institution, with over 5,000 employees and 15,500 students split between its Dorigny campus, CHUV and Epalinges. As an employer, UNIL encourages excellence, individual recognition and responsibility.</p>  <b>Presentation</b>  <p>The Institute of Earth Surface Dynamics (IDYST) of the Faculty of Geosciences &amp; Environment is opening a position as <strong>First Assistant (Postdoc) in Spatial Modelling of Species and Biodiversity</strong>.</p>  <b>Job information</b>  <p>Expected start date in position&nbsp;: 01.09.2020</p>  <p>Contract length&nbsp;: 1 year, renewable 1 x 2 years, maximum 3 years</p>  <p>Activity rate : 100%</p>  <p>Workplace : Lausanne Dorigny (Géopolis)</p>  <b>Your responsibilities</b>  <p>100% of the activity will be dedicated to research in the ValPar.CH project, within the Spatial Ecology group (ECOSPAT) in the GSE Faculty, IDYST institute.</p>  <b>Your qualifications</b>  <p>The candidate will have already a PhD grade and work within the new multidisciplinary national project ValPar.CH aiming at evaluating and modelling habitats, biodiversity and ecosystem services in Switzerland and for selected parks of national importance.</p>  <p>The candidate will be particularly involved in the spatial modelling of species and biodiversity at both the national scale and within parks at fine resolution. This task will require intensive and efficient computing, thus the candidate is expected to have advanced experience in computer programming, statistics and simulations, and a good knowledge in biogeography, especially about the drivers of species distributions.</p>  <p>The project will be based on existing national species occurrence data and environmental maps, so that no sampling will be required.</p>  <p>The candidate will also have to collaborate with the other researchers within the project, and especially with those involved in habitat and landuse mapping.</p>  <p>English will be the language for the scientific part of the project, but knowledge of French and German would be a plus.</p>  <b>What the position offers you</b>  <p>We offer a nice working place in a multicultural, diverse and dynamic academic environment. Opportunities for professional training, a lot of activities and other benefits to discover.</p>  <b>Contact for further information</b>  <p>Mr</p>  <p>Professor</p>  <p>Antoine Guisan</p>  <p>Antoine.Guisan@unil.ch</p>  <b>Your application</b>  <p>Deadline : 05.07.2020<br> <br> Please, send your application with a motivation letter, CV, copy of the PhD diploma (not the thesis itself), publication list with a short statement of research achievements, the coordinates and emails of 3 reference persons in Word or PDF.<br> Only applications through this website will be taken into account.<br> <br> We thank you for your understanding.</p>  <b>Additional information</b>  <p><em>UNIL is committed to equal opportunities and diversity.<br> www.unil.ch/egalite</em></p>  <p><em>UNIL supports early career researchers.</em><br> <em>www.unil.ch/graduatecampus</em></p>"
20599741;"21310;21430;21000";"Microsoft Office;Mobilität;Mitarbeitermotivation;Geografisches Informationssystem (GIS);Büroanwendungen;Analytisches Denken;Gesetzgebung;Eigenverantwortung;PR-Redaktion;Software;Redaktion;Einsatzbereitschaft;Pragmatismus";Architektur und Planung;Lausanne;VD;Kleinunternehmen;;"BACHELOR;MASTER;BASICEDUCATION;MATURA;CERTIFICATE;EBA;DIPLOMA;UAS;BMS;DMS;EDUCATION;PHD;BP;HFP;CAS;COLLEGE;HIGHEREDUCATION;DAS;EFZ;UNIVERSITY;ADVANCEDTRAINING;HF;MAS";43985;44010;CSD Ingenieure AG;Ingénieur/e en gestion de la nature - Biologiste naturaliste 80-100%;"Biologe;Umweltschutztechniker;Naturwissenschafter";"&nbsp; <strong>Avec 750 collaborateurs répartis sur 30 sites en Suisse et en Europe, notre groupe confirme sa forte position sur le marché. Grâce à ses projets pluridisciplinaires, CSD est un employeur attractif. Nos collaborateurs peuvent faire émerger des idées novatrices et ainsi contribuer à créer un « plus » pour la qualité de vie et pour l’environnement.</strong> <br> <br> Nous recherchons pour notre&nbsp;succursale Environnement Vaud&nbsp;à  <strong>Lausanne (VD)</strong> et à  <strong>Yverdon-les-Bains (VD)</strong>un/uneIngénieur/e en gestion de la nature - Biologiste naturaliste 80-100%Nous vous offrons <ul>  <li>Un travail passionnant dans le cadre de projets phares, tels que la renaturation de la Broye, les réseaux écologiques du Gros de Vaud, du Nord vaudois et de la Broye ou la revitalisation de milieux naturels et de zones alluviales ainsi que les plans ""climat"" cantonaux.</li>  <li>Un réseau de professionnels provenant de différents domaines de l’ingénierie.</li>  <li>De multiples possibilités de développement professionnel et personnel.</li>  <li>Un environnement de travail dynamique dans un climat de respect mutuel.</li>  <li>Des conditions attractives permettant une grande flexibilité dans l’aménagement du temps de travail.</li> </ul>Vos tâches <ul>  <li>Rédiger le volet nature des études d’impact ; projets de compensation&nbsp;- accompagnement écologique.</li>  <li>Conduire et réaliser des projets dans les domaines de l’aménagement et de la gestion des milieux naturels et des zones alluviales, nature en ville, aménagement du territoire, programmes biodiversité, agroenvironnement et renaturation des cours d’eau.</li>  <li>Diriger des chantiers de renaturation de cours d'eau.</li>  <li>Réaliser des inventaires et suivis faunistiques et floristiques (certificat SBS 400 serait un avantage).</li>  <li>Soutenir le développement des prestations en lien avec la sauvegarde de la biodiversité.</li>  <li>Soigner les contacts clients/partenaires et assurer la qualité des prestations.</li> </ul>Votre profil <ul>  <li>Ingénieur/e HES en gestion de la nature, biologiste, Ingénieur/e EPF (Master) en Sciences et Ingénierie de l’Environnement ou formation jugée équivalente, avec une expérience professionnelle de 2 à 3 ans.</li>  <li>Excellent sens pratique</li>  <li>Très bonnes connaissances de la faune, de la flore et des milieux naturels.</li>  <li>Bonnes connaissances des législations cantonales et fédérales liées à l'environnement et connaissance du territoire romand, notamment des cantons de Vaud, Fribourg et Neuchâtel.</li>  <li>Maitrise des logiciels SIG et suite Office.</li>  <li>Esprit d’analyse et de synthèse ainsi que facilité de rédaction.</li>  <li>La connaissance de l'allemand serait un avantage.</li>  <li>Mobile et en possession d’un permis de conduire.</li>  <li>Personnalité dynamique et autonome ayant le sens de l’initiative.</li> </ul> <p><strong>Questions générales concernant le recrutement ?</strong><br>M. Arnaud Berset, HR Business Partner, répond volontiers à vos questions au n° +41 26 469 78 00.</p> <p>Nous ne prenons pas en considération les offres d’agences de placement et dès lors, nous ne rentrons d’aucune manière en négociation pour le versement de quelque prétention qu’il soit.</p>Postuler maintenantPostule avec xeebo&nbsp; <strong>CSD INGENIEURS SA</strong> <br>Ressources Humaines <br>Route Jo-Siffert 4 - Givisiez | Case postale 384 <br>CH-1701 Fribourg <br>www.csd.ch&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;"
20653902;"12190;21640";"Mobilität;Kommunikation;Teamfähigkeit;Transport;Multitasking";Architektur und Planung;Freiburg;FR;Kleinunternehmen;;"BACHELOR;MASTER;BASICEDUCATION;MATURA;CERTIFICATE;EBA;DIPLOMA;UAS;BMS;DMS;EDUCATION;PHD;BP;HFP;CAS;COLLEGE;HIGHEREDUCATION;DAS;EFZ;UNIVERSITY;ADVANCEDTRAINING;HF;MAS";43997;44047;CSD Ingenieure AG;Ingénieur/e en transports et mobilité - Chef/fe de projet 80-100%;"Projektleiter;Verkehrsingenieur";"&nbsp; <strong>Avec 750 collaborateurs répartis sur 30 sites en Suisse et en Europe, notre groupe confirme sa forte position sur le marché. Grâce à ses projets pluridisciplinaires, CSD est un employeur attractif. Nos collaborateurs peuvent faire émerger des idées novatrices et ainsi contribuer à créer un « plus » pour la qualité de vie et pour l’environnement.</strong> <br> <br> Nous recherchons pour notre succursale Mobilité et Trafic à  <strong>Givisiez (Fribourg)</strong>&nbsp;un/uneIngénieur/e en transports et mobilité - Chef/fe de projet 80-100%Nous vous offrons <ul>  <li>Un travail passionnant dans le cadre de projets variés en Suisse et en Belgique.</li>  <li>Un réseau de professionnels provenant de différents domaines de l’ingénierie.&nbsp;</li>  <li>De multiples possibilités de développement professionnel et personnel.&nbsp;</li>  <li>Un environnement de travail dynamique dans un climat de respect mutuel.</li>  <li>Des conditions attractives permettant une grande flexibilité dans l’aménagement du temps de travail.</li> </ul>Vos tâches <ul>  <li>Piloter des études de mobilité multimodale (plans de circulation, stationnement, transports publics, mobilité douce, gestion du trafic, etc.)&nbsp;</li>  <li>Réaliser des projets d'aménagement d’espaces publics et de voirie.</li>  <li>Gérer une petite équipe.</li>  <li>Collaborer sur des projets d’ingénierie dans des domaines variés alliant des compétences pluridisciplinaires.</li> </ul>Votre profil <ul>  <li>Ingénieur/e EPF ou HES en génie civil ou formation jugée équivalente avec spécialisation dans le domaine des transports, de la mobilité et des aménagements routiers.</li>  <li>Minimum 5 ans d'expérience dans le domaine de la mobilité et des aménagements routiers.</li>  <li>Langue maternelle française. Des connaissances de l'allemand sont un atout.</li>  <li>Aisance dans la rédaction de rapports techniques et de synthèse ainsi que facilité en communication orale.</li>  <li>Capacité à travailler en équipe, à communiquer et à s’organiser en fonction des impératifs et des délais.</li>  <li>Polyvalence et dynamisme complètent le profil recherché.</li> </ul> <strong>Questions générales concernant le recrutement?</strong> Mme Aude Sallin, HR Business Partner, répond volontiers à vos questions au n° +41 26 469 78 00. <br> <br>Nous ne prenons pas en considération les offres d’agences de placement et dès lors, nous ne rentrons d’aucune manière en négociation pour le versement de quelque prétention qu’il soit. <br> <br>Postuler maintenantPostuler avec xeebo&nbsp; <strong>CSD INGENIEURS SA</strong> <br>Ressources Humaines <br>Route Jo-Siffert 4 - Givisiez | Case postale 384 <br>CH-1701 Fribourg <br>www.csd.ch&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;"
20013172;21650;"Eigenverantwortung;Analysen;Exakte Arbeitsweise;POS-Management;Führung;Analytisches Denken;Einsatzbereitschaft;Pragmatismus;Beziehungsfähigkeit";Umwelttechnik;Lausanne;VD;Mittelunternehmen;"Schutz-Jobs;Ermittler;Führungs-Jobs;Führungskraft";"BACHELOR;MASTER;BASICEDUCATION;MATURA;CERTIFICATE;EBA;DIPLOMA;UAS;BMS;DMS;EDUCATION;PHD;BP;HFP;CAS;COLLEGE;HIGHEREDUCATION;DAS;EFZ;UNIVERSITY;ADVANCEDTRAINING;HF;MAS";43871;43985;Géotest SA;Ingénieur(e) géotechnicien(ne) expérimenté (80 à 100%);Geomatikingenieur;<h3>Ingénieur(e) géotechnicien(ne) expérimenté (80 à 100%), Filiale Le Mont-sur-Lausanne</h3> <p><strong>GEOTEST SA est le principal prestataire suisse de services en géosciences.</strong> Le siège social de l’entreprise, active sur le plan international, est situé à Zollikofen, dans le canton de Berne. Elle compte en outre six filiales en Suisse.</p> <p>Nous offrons un environnement de travail souple, dynamique et innovant, et nous engageons en faveur du développement continu de nos collaboratrices et de nos collaborateurs. Nous faisons bénéficier nos clients de notre analyse minutieuse des mandats, de nos conseils person-nalisés et de nos solutions globales. Notre stratégie repose sur la mise en réseau interdiscipli-naire de notre vaste gamme d’activités.</p> <p>Pour renforcer notre équipe de <strong>Le Mont-sur-Lausanne</strong> dans le secteur géotechnique, environnement et géologie, nous recherchons, de suite ou à convenir, un ou une</p> <p><strong>Ingénieur(e) géotechnicien(ne) expérimenté (80 à 100%)</strong></p> <p><strong>Votre mission:</strong></p> <p>Vous développez le secteur géotechnique de notre succursale par la réalisation de projets en géotechnique et travaux spéciaux, en vous appuyant sur un groupe de 8 ingénieurs. Vous contribuez par l’interaction au sein de notre team multidisciplinaire à la concrétisation de projets va-riés et exigeants (infrastructures et bâtiments, dangers naturels, maintenance d’ouvrages).</p> <p>Vous trouverez en rejoignant notre société un champ d’action attractif et motivant par son potentiel de développement.</p> <p><strong>Votre profil:</strong></p> <ul>  <li>formation d’ingénieur en génie civil EPF ou HES, avec orientation géotechnique / sciences de la terre</li>  <li>plusieurs années d’expérience (minimum 5 ans) dans la conduite d’investigations géotechniques, le dimensionnement et la réalisation de géostructures</li>  <li>bonne connaissance du marché et aisance dans le contact</li>  <li>capacités d’analyse, sens pratique</li>  <li>autonomie, esprit d’initiative, appréciant le travail en équipe</li>  <li>de langue française, de bonnes connaissances de l’allemand étant un atout</li> </ul> <p><strong>Avons-nous éveillé votre intérêt? Nous nous réjouissons de faire votre connaissance.</strong> Veuillez envoyer votre dossier de candidature complet par courriel à bewerben@geotest.ch. M. Xavier Marche, responsable de la filiale du Mont-sur-Lausanne, vous fournira volontiers de plus amples renseignements (tél. 021 731 09 26).</p>Kontakt:  <br> <br>Xavier Marche <br> <br>T +41 (0)21 731 09 26E-Mail <p>Stelleninserat erfahrener Geotechniker.pdf</p>
20654438;21620;F#;"Land- und Forstwirtschaft;Architektur und Planung";PRANGINS;VD;Kleinunternehmen;;;43997;44027;Denogent SA;Un architecte paysagiste (H/F);Landschaftsarchitekt;<p>Un architecte paysagiste (H/F)</p>  <p>ACTIVE DANS LA BRANCHE PAYSAGÈRE, LA SOCIÉTÉ DENOGENT SA EST UNE IMPORTANTE ENTREPRISE FAMILIALE DE SUISSE ROMANDE QUI RAYONNE PRINCIPALEMENT SUR ...</p>  <p>DENOGENT SA</p>  <p>PRANGINS</p>
