,JOB_ID,ISCO,JOB_CONTENT,LOWEST_DISTANCE,BEST_ACTIVITY_MATCH,BEST_ACTIVITY_ID,TOP_ACTIVITY_MATCHES,TOP ACTIVITY_IDS,BEST_ACTIVITY_MATCH_3SENT,BEST_ACTIVITY_ID_3SENT
0,12220025,21420,"We are a successful and independent engineering office in Schönried  To strengthen our team and to optimally process the manifold interesting objects, we are looking for civil engineering MW of their work areas of constructive engineering construction both in project planning and in the construction management of general low and road construction  Your profile You have a completed studies as a civil engineer ETHTUFH  You want to gain experience in configuration and construction management  They are all over and want to develop develops are used to deal with pressure and can also retain the tranquility in hectic situations  Your chances You can extend your knowledge and experience in a small motivated team with modern work equipment and interesting objects  You will get the opportunity to grow on the task  Further information and application We are at your disposal for more information and look forward to receiving your application  Please send your documents preferably by email to Clewi Haldi Clewaihaldi  EU We look forward to receiving contact  Haldi Design AG Schönried",,Manage engineering or construction activities.,4.A.4.b.1.G09,,,Manage engineering or construction activities.,4.A.4.b.1.G09
1,10814567,21420,"We are a prestigious and successful engineering company operated for 40 years in the fields of engineering booth and tributary as well as in the environment and spatial planning  To strengthen our dedicated team at the headquarters in Burgdorf, we are looking for a Dipl  Civil Engineer in FH or ETH as a project manager civil engineering  Your tasks Configuring tendering and realization of new buildings and renovations in the areas of road construction Settlement drainage Water supply and hydraulic engineering Contact with representatives of the builders and the authorities Leadership and supervision of construction drawers and designers Costs and futures involvement in the acquisition at most instructional managers unless we expect from them A degree as a civil engineer FH or ETH experience in the mentioned areas of engineering  Experience in dealing with common ethilfs independent and initiative Functioning of good oral and written expression What we offer you a careful introduction to the field of work a varied work in an exciting environment and with interesting order situation a workplace with contemporary itinfrastructure office location in the heart of Burgdorf in walking distance to the train station and With parking right in front of the house of the performance corresponding compensation make you feel addressed then do not hesitate  Contact us today or send us your complete application documents  034 420 84 83   gladly gives you further information about this interesting job  Markwalder Partner AG Engineers and Planner Lyssachstrasse 7a 3400 Burgdorf   Markwalder Partner AG Lyssachstrasse 7a Mailbox Ch3401 Burgdorf Fon 41 034 420 84 84 Fax 41 034 420 84 85 Login",,Manage engineering or construction activities.,4.A.4.b.1.G09,,,Manage engineering or construction activities.,4.A.4.b.1.G09
2,12401674,21420,"Bill Weyermann Partner AG has been producing engineering services in high and civil engineering for over 40 years With more than 20 dedicated employees, it is one of the major planning offices in the Mittelland Are you the experienced ready-to-use and competent civil engineer ETHFH MW carrying structures which seek a new challenge your personality you have a completed training as a Dipl Civil engineer ETHFH or similar as well as a few years of professional experience around carrying structures They are independently structured and entrepreneurially Your tasks you take over the management of demanding projects in the civil engineering and are supported by the entire team CH expects your complete dossier with photo and gives information under Tel Nr 034 413 71 11",,Manage engineering or construction activities.,4.A.4.b.1.G09,,,Manage engineering or construction activities.,4.A.4.b.1.G09
3,12473085,62100,Administration Communale de Valderuzforstartin Efzcernier Ne Languages FR Number of apprenticeships 1 Swissdoc number 0  0 updated23,," Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.",207,,," Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.",207
4,12905109,26220;24210,The Straumann Group is experiencing international success in the field of implantology and dental reconstruction as well as tissue regeneration  For more than 60 years we have been focusing our skills on the research and development of optimal solutions for our customers and patients  Implantable medical devices produced on our Villeret site are certified according to MDD 9342ECC ISO 13485 ISO 14001 and FDACGMP 21 CFR 820  In order to ensure that all valid quality documents for the Villeret site are correctly defined in the relevant departments they are Update and made available to users we complete our team with a quality documentation specialist  Your function as part of the management of our Quality System You are part of a team responsible for document management process management and training  In this function you evaluate and process requests for changes attend the departments responsible for the definition and development of the various quality documents and propose continuous improvements concerning the documentation  In addition you develop and give training related to the quality management system  You also follow the performance of document management processes using indicators and actively participate in the ongoing development of businesses  Your profile 1 to 3 years of professional experience in a similar position in an active industry in the field of pharmaceutical or biotechnological medical devices  Excellent knowledge of ISO 13485 standards and regulation 21 CFR 820  Mastery of the environment MS Office Excel Word Visio PowerPoint ETC Complementary knowledge of SAP an asset  Good ability to analyze complex situations  Oriented towards the development of pragmatic solutions  Excellent organizational and priority management capabilities with good stress resistance and flexibility  Autonomous while enjoying teamwork  Good communication skills  Mastery of French with spelling and irreproachable grammar  Excellent knowledge of English for professional use and knowledge of German a plus  This function awaits you with a modern and dynamic company that considers quality control as its first priority  Motivated by this challenge to send your application accompanied by the usual documents at the following address Straumann Villeret SA Human Resources The Fields of the Clos 2 2613 Villeret 41 32 942 87 87 Job  com www,, Getting members of a group to work together to accomplish tasks.,196,,,"Developing specific goals and plans to prioritize, organize, and accomplish your work.",117
5,12523090,61300,Le Devens Armée du Salutland Wirtin Efzstaubinsauges Ne Languages FR Number of Courses 1 SwissDoc number 0  0 updated29,,Select materials for use in green applications or production.,4.A.2.b.1.G08,,," Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.",207
6,11449790,21420;24310,"Civil Engineer as product manager SYTEC Bausysteme AG supports planner construction companies and rulings in the planning of complex projects as well as in the correct selection of products and their professional use  There is no established technology which would not be worth questioned  With know--show new ideas and innovative systems, SYTEC helps economically to build the construction time to shorten and significantly extend the life of the buildings  Civil engineer as product manager Primary works in product management and product development of the SYTEC geoproducts  They maintain contact with the production partners in Germany and abroad and lead the products through the different stages of life cycle  They create technical documentation and documents  In addition, they are involved in the further development of the assessment models and provide customers with recessed product technical inquiries  They are civil engineer BSC MSC and ready to get into a new exciting matter  They dominate German in word and written  If you can communicate in French English and or Italian, this is another advantage  As part of a team, you may receive support and offer your help  If you know if you prefer to work as a product manager or on the front in the geotechnology In any case, you will be carefully incorporated by experienced professionals in your new task  If you would like to have more detailed information on the two job opportunities, just contact us  We are happy to show you what makes the special stimulus to work for SYTEC  The SYTEC team is looking forward to seeing you  SYTEC Bausysteme AG Lorenz Kunz Management Luentenstrasse 47 3176 Neuenegg Telephone 031 980 14 14 Fax 031 980 14 24Lorenz",,Prepare environmental reports or documentation.,4.A.3.b.6.G04,,,"Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions.",86
7,12848898,21660;31120,Draftsman or Technician in Civil Engineering HF 100 SD Engineering Lausanne SA,,Advise others on green engineering or design issues.,4.A.4.b.6.G05,,,Advise others on green engineering or design issues.,4.A.4.b.6.G05
8,12849192,21420,"Works Engineer CVSE HF Losinger Marazzi Corporate recognized in its market targets leadership in sustainable construction  Customers appreciate it for its know-how its reliability and competitiveness  Ambitious she anticipates the future by developing innovative solutions  For our collaborators we want to be a company to which they are proud to belong  Your mission at the heart of our direction Works Switzerland Romande You are responsible for carrying out the follow-up of CVCS work heating air conditioning and sanitary ventilation and their measurement systems control and regulation MCR  You are in charge of planning the coordination of monitoring the quality control and compliance of this work carried out to the standards in force for the commissioning of technical installations and finally the financial management of lots under your responsibility  You also make sure to enforce the safety rules within the site  True entrepreneur You represent the interests of the company with subtractors and are responsible for men on the site  Your profile for a diploma of general engineer or CVCS of a Swiss school or equivalent you are for the benefit of a validated experience in CVCS works of minimum 1 year and solid knowledge in MCR  You master the SIA standards and you are recognized on the place for your professionalism and your ability to find solutions  If you have the ambition to expand your responsibilities and get involved in major project development, do not hesitate and join our work framework we propose to integrate an international group leader in its market offering methods and A powerful work environment A proximity hierarchy of targeted and pointed training as well as a large network of skills  Contact We are looking forward to receiving your application file through our Losinger Marazzi AG Direktion Human Resources Online Postula Form Ref  MDJ_CTCVSE Pay Path 26 1030 Bussigny Züruckbewerbungdrücken",,"Inspect heating, ventilation and air conditioning (HVAC) systems.",4.A.1.b.2.G03,,,Review technical documentation to ensure compliance with regulations or standards.,4.A.2.a.3.G02
9,12849193,21420,"Works Engineer CVSE HF Losinger Marazzi Corporate recognized in its market targets leadership in sustainable construction  Customers appreciate it for its know-how its reliability and competitiveness  Ambitious she anticipates the future by developing innovative solutions  For our collaborators we want to be a company to which they are proud to belong  Your mission at the heart of our direction Works Switzerland Romande You are responsible for carrying out the follow-up of CVCS work heating air conditioning and sanitary ventilation and their measurement systems control and regulation MCR  You are in charge of planning the coordination of monitoring the quality control and compliance of this work carried out to the standards in force for the commissioning of technical installations and finally the financial management of lots under your responsibility  You also make sure to enforce the safety rules within the site  True entrepreneur You represent the interests of the company with subtractors and are responsible for men on the site  Your profile for a diploma of general engineer or CVCS of a Swiss school or equivalent you are for the benefit of a validated experience in CVCS works of minimum 1 year and solid knowledge in MCR  You master the SIA standards and you are recognized on the place for your professionalism and your ability to find solutions  If you have the ambition to expand your responsibilities and get involved in major project development, do not hesitate and join our work framework we propose to integrate an international group leader in its market offering methods and A powerful work environment A proximity hierarchy of targeted and pointed training as well as a large network of skills  Contact We are looking forward to receiving your application file through our Losinger Marazzi AG Direktion Human Resources Online Postula Form Ref  Mdj_ctcvse pour path 26 1030 Bussigny returns your cvpprint",,"Inspect heating, ventilation and air conditioning (HVAC) systems.",4.A.1.b.2.G03,,,Review technical documentation to ensure compliance with regulations or standards.,4.A.2.a.3.G02
